k,emotion,r_raw,p_raw,r_ctrl_len,p_ctrl_len,r_x_len,r_y_len,file_name,speaker
100,prob_face_anger,-0.06938503050019523,0.4927419599018399,-0.1382043264204603,0.17029462571021842,-0.13478886177074703,-0.3732663879485468,7595d874-c1cb-4aef-918f-3c81f3a84324,0
100,prob_face_contempt,-0.134282561625183,0.182865335604562,-0.1910483938573616,0.05690472355166396,-0.13478886177074703,-0.17824308390652874,7595d874-c1cb-4aef-918f-3c81f3a84324,0
100,prob_face_disgust,-0.051717379010924734,0.6093413814977264,-0.06116383933642485,0.5455013198015959,-0.13478886177074703,-0.20598010419966456,7595d874-c1cb-4aef-918f-3c81f3a84324,0
100,prob_face_fear,0.010596986476393452,0.9166610881575219,0.02778863884996085,0.7837421528662256,-0.13478886177074703,0.008893129733604803,7595d874-c1cb-4aef-918f-3c81f3a84324,0
100,prob_face_happiness,0.02277991650707708,0.8220070113294797,0.0302695527810101,0.7649717814029473,-0.13478886177074703,0.23223386137552032,7595d874-c1cb-4aef-918f-3c81f3a84324,0
100,prob_face_neutral,-0.08323800715244198,0.41031175496823147,-0.09986729807189779,0.32286315275222155,-0.13478886177074703,-0.2907324689270281,7595d874-c1cb-4aef-918f-3c81f3a84324,0
100,prob_face_sadness,-0.02393933736305437,0.8131087356679126,-0.031194639331570836,0.7580066621672297,-0.13478886177074703,-0.2156664572525104,7595d874-c1cb-4aef-918f-3c81f3a84324,0
100,prob_face_surprise,0.0210798330757736,0.8350953022800827,0.016525409744107718,0.8703707518188414,-0.13478886177074703,0.0023603230474977216,7595d874-c1cb-4aef-918f-3c81f3a84324,0
100,smile,0.007839669043414982,0.9382956128935018,-0.043643502974019095,0.666356765264599,-0.13478886177074703,0.04306997529947963,7595d874-c1cb-4aef-918f-3c81f3a84324,0
300,prob_face_anger,-0.12316793529587526,0.032961537237141104,-0.1384740103502763,0.01639503691083331,0.06147820183451306,-0.4237216934128428,7595d874-c1cb-4aef-918f-3c81f3a84324,0
300,prob_face_contempt,0.003680187516581555,0.949386811303761,0.006270200016390392,0.9138761271461724,0.06147820183451306,0.01714409373342113,7595d874-c1cb-4aef-918f-3c81f3a84324,0
300,prob_face_disgust,-0.0999673522266401,0.08388259834243726,-0.10632248354450773,0.06590228897606079,0.06147820183451306,-0.1469838927556754,7595d874-c1cb-4aef-918f-3c81f3a84324,0
300,prob_face_fear,-0.1322309443386121,0.021974176954382012,-0.1289119164323946,0.025560620397130418,0.06147820183451306,-0.2367346892499196,7595d874-c1cb-4aef-918f-3c81f3a84324,0
300,prob_face_happiness,0.14412426849842522,0.012456387536810876,0.16403397077579027,0.004391056013162778,0.06147820183451306,0.24028334871299378,7595d874-c1cb-4aef-918f-3c81f3a84324,0
300,prob_face_neutral,-0.16054476336376197,0.005316400458144873,-0.15428230181753777,0.007425368838493926,0.06147820183451306,-0.32251279537964206,7595d874-c1cb-4aef-918f-3c81f3a84324,0
300,prob_face_sadness,-0.08873987997815486,0.12512063025195166,-0.08887246778273392,0.12455534668123734,0.06147820183451306,-0.2727147057665141,7595d874-c1cb-4aef-918f-3c81f3a84324,0
300,prob_face_surprise,-0.16154998639277932,0.005033315891202396,-0.15103530141915888,0.008789511223865447,0.06147820183451306,-0.21650800839819243,7595d874-c1cb-4aef-918f-3c81f3a84324,0
300,smile,0.025446470165950617,0.6606782639429958,-0.034386129262412246,0.552997572486918,0.06147820183451306,-0.021635843321797077,7595d874-c1cb-4aef-918f-3c81f3a84324,0
500,prob_face_anger,0.020586429931675188,0.6460739682898344,0.020911110083001238,0.6408810262620392,0.0343467376090999,-0.02835035632900566,7595d874-c1cb-4aef-918f-3c81f3a84324,0
500,prob_face_contempt,-0.01614834576588185,0.7186918043464952,-0.01540129682712554,0.7311908305971568,0.0343467376090999,-0.0058196023057550846,7595d874-c1cb-4aef-918f-3c81f3a84324,0
500,prob_face_disgust,-0.062053542801172416,0.16592349250126937,-0.06499888051548539,0.14669175765086154,0.0343467376090999,-0.11766248197178597,7595d874-c1cb-4aef-918f-3c81f3a84324,0
500,prob_face_fear,-0.1143549265514802,0.010495754187573347,-0.11100519477598274,0.01300548972194969,0.0343467376090999,-0.07091728027769008,7595d874-c1cb-4aef-918f-3c81f3a84324,0
500,prob_face_happiness,0.02108608401666419,0.6380897179560144,0.01631424681373941,0.7159260954764378,0.0343467376090999,-0.0008497818436062432,7595d874-c1cb-4aef-918f-3c81f3a84324,0
500,prob_face_neutral,0.04466247010606776,0.31891937085714217,0.045265019416221734,0.3124276848948972,0.0343467376090999,-0.012551340036700985,7595d874-c1cb-4aef-918f-3c81f3a84324,0
500,prob_face_sadness,0.014848976333028818,0.7404779915056425,0.009412087624233028,0.8337156186674557,0.0343467376090999,-0.04745661050708436,7595d874-c1cb-4aef-918f-3c81f3a84324,0
500,prob_face_surprise,-0.07683646821471378,0.0860973631074695,-0.07418406269848997,0.0975320157130917,0.0343467376090999,-0.13485389831413355,7595d874-c1cb-4aef-918f-3c81f3a84324,0
500,smile,-0.027993594715830683,0.5322917130385418,-0.007439730165572075,0.8682015338840485,0.0343467376090999,-0.07397945823527319,7595d874-c1cb-4aef-918f-3c81f3a84324,0
1000,prob_face_anger,0.012686469511310272,0.6886441397913834,0.00995691109424793,0.7531571402634581,-0.006543674661611654,-0.12528513245544562,7595d874-c1cb-4aef-918f-3c81f3a84324,0
1000,prob_face_contempt,0.01732316413490158,0.5842671284223047,0.015409725552902667,0.6264583763638524,-0.006543674661611654,0.03391184315654686,7595d874-c1cb-4aef-918f-3c81f3a84324,0
1000,prob_face_disgust,0.032077121219112256,0.31088837127977687,0.029016714440199202,0.3593342309583304,-0.006543674661611654,-0.08097680291996233,7595d874-c1cb-4aef-918f-3c81f3a84324,0
1000,prob_face_fear,-0.07438189710410976,0.018648711148002407,-0.07357696781881011,0.019967794144496873,-0.006543674661611654,-0.018930428936912252,7595d874-c1cb-4aef-918f-3c81f3a84324,0
1000,prob_face_happiness,-0.00036117094327677544,0.990898773130008,-0.004015403575646085,0.8990829391669302,-0.006543674661611654,0.04458858171174259,7595d874-c1cb-4aef-918f-3c81f3a84324,0
1000,prob_face_neutral,0.020030303691544328,0.526939322123868,0.021270964240397882,0.5016590286505322,-0.006543674661611654,-0.06587695312021893,7595d874-c1cb-4aef-918f-3c81f3a84324,0
1000,prob_face_sadness,0.041489987989115254,0.18987393134193536,0.0421811147449162,0.18259453741095988,-0.006543674661611654,-0.09473980155496446,7595d874-c1cb-4aef-918f-3c81f3a84324,0
1000,prob_face_surprise,-0.02274331731232031,0.47251054013524774,-0.02068089413078883,0.5136020807228028,-0.006543674661611654,0.0326276507412595,7595d874-c1cb-4aef-918f-3c81f3a84324,0
1000,smile,-0.03754282519956343,0.23556635591979092,-0.0030582175648551273,0.9230531096728523,-0.006543674661611654,-0.032917120671573014,7595d874-c1cb-4aef-918f-3c81f3a84324,0
100,prob_face_anger,-0.026436562863403283,0.7940250118521575,0.08666894063316793,0.39121951066669713,0.1413872933139344,-0.49970897884162124,7595d874-c1cb-4aef-918f-3c81f3a84324,1
100,prob_face_contempt,0.015919630603581564,0.8750834769955333,-0.018340979532133442,0.8562740937745914,0.1413872933139344,0.4752518439333905,7595d874-c1cb-4aef-918f-3c81f3a84324,1
100,prob_face_disgust,0.10352868116568502,0.30534991066332223,0.21964705173639495,0.028110275087401885,0.1413872933139344,-0.5214341002099884,7595d874-c1cb-4aef-918f-3c81f3a84324,1
100,prob_face_fear,0.05390678992605761,0.5942564681478142,0.16088620708855716,0.10980498130810182,0.1413872933139344,-0.2882211909817714,7595d874-c1cb-4aef-918f-3c81f3a84324,1
100,prob_face_happiness,-0.06826390487960853,0.4997746188435922,-0.0780753624120176,0.440044975679047,0.1413872933139344,0.2720287089053197,7595d874-c1cb-4aef-918f-3c81f3a84324,1
100,prob_face_neutral,-0.0048437985150950325,0.9618523065370734,-0.016243665686551997,0.8725620571456496,0.1413872933139344,-0.08713127200537492,7595d874-c1cb-4aef-918f-3c81f3a84324,1
100,prob_face_sadness,-0.09559590940399092,0.3440928188341146,-0.04719857576847185,0.6409923695688717,0.1413872933139344,-0.4281713914245087,7595d874-c1cb-4aef-918f-3c81f3a84324,1
100,prob_face_surprise,0.04974809442674526,0.6230510015945669,0.13231105712941743,0.1894346910313609,0.1413872933139344,-0.2180433728607553,7595d874-c1cb-4aef-918f-3c81f3a84324,1
