SPK0_text,SPK1_text,SPK0_p1,SPK0_p3,SPK1_p1,SPK1_p3,prob_face_anger_SPK0,prob_face_contempt_SPK0,prob_face_disgust_SPK0,prob_face_fear_SPK0,prob_face_happiness_SPK0,prob_face_neutral_SPK0,prob_face_sadness_SPK0,prob_face_surprise_SPK0,smile_SPK0,prob_face_anger_SPK1,prob_face_contempt_SPK1,prob_face_disgust_SPK1,prob_face_fear_SPK1,prob_face_happiness_SPK1,prob_face_neutral_SPK1,prob_face_sadness_SPK1,prob_face_surprise_SPK1,smile_SPK1
[' '],[' '],9.034130096435547,0.0,14.412847518920898,14.412847518920898,,,,,,,,,,,,,,,,,,
[' '],[' '],9.034130096435547,0.0,14.412847518920898,14.412847518920898,,,,,,,,,,,,,,,,,,
[' '],[' '],9.034130096435547,0.0,14.412847518920898,14.412847518920898,0.0242517933334139,0.0195065695242109,0.0145874334245242,0.013474184194241,0.5220801283986393,0.3273280886086551,0.0171646718105131,0.0616071576675908,0.0,,,,,,,,,
[' '],[' '],9.034130096435547,0.0,14.412847518920898,14.412847518920898,0.0110056223347783,0.004475416149944,0.0005088263424113,0.0019598950166255,0.1703034043312072,0.7129290699958801,0.0963651835918426,0.0024524892214685,0.0,,,,,,,,,
[' '],[' '],9.034130096435547,0.0,14.412847518920898,14.412847518920898,0.0717544518411159,0.0031210518597314,0.0037250270446141,0.0051249591633677,0.0317448095108071,0.7638956705729166,0.1156075969338417,0.0050264302020271,0.0,,,,,,,,,
['>'],[' '],9.034130096435547,0.0,14.412847518920898,14.412847518920898,0.0603981234133243,0.0025418125558644,0.0029871963895857,0.015171063132584,0.0183674334082752,0.7683734655380249,0.1168017119169235,0.0153591950424015,0.0,,,,,,,,,
[' '],[' '],9.034130096435547,0.0,14.412847518920898,14.412847518920898,0.0323042420204728,0.0007450551202055,0.0007223603315651,0.0029838485788786,0.0006434884235204,0.7833314836025238,0.1741516254842281,0.0051178611174691,0.0,,,,,,,,,
[' Yeah'],[' '],9.034130096435547,0.0,14.412847518920898,14.412847518920898,0.0427009493112564,0.0024001936311833,0.0017508402699604,0.0034510982222855,0.0015971108456142,0.798292589187622,0.1410086557269096,0.008798548951745,0.0,,,,,,,,,
[' '],[' '],1.7552175521850586,0.0,14.412847518920898,14.412847518920898,0.0691181287169456,0.0036510019563138,0.0033535393187776,0.0063492220826447,0.0095902753993868,0.8066720724105835,0.0904792562127113,0.0107864800607785,0.0,,,,,,,,,
['.'],[' '],1.7552175521850586,0.0,14.412847518920898,14.412847518920898,0.0352673985064029,0.0021813588449731,0.0025755443144589,0.0077311149332672,0.0035598071990534,0.818266761302948,0.1026245132088661,0.0277935191988945,0.0,,,,,,,,,
[' Yeah'],[' '],4.018103122711182,0.0,14.412847518920898,14.412847518920898,0.0315957590937614,0.0021706111961975,0.0015099090989679,0.0047426807461306,0.0021367356879636,0.8411062955856323,0.0975096814334392,0.0192283399868756,0.0,,,,,,,,,
[' '],[' '],0.9831200242042542,0.0,14.412847518920898,14.412847518920898,0.1195920445024967,0.005723566195229,0.0043218902428634,0.0025377480487804,0.0776627176528563,0.6840922832489014,0.101904259994626,0.0041655129753053,0.0,,,,,,,,,
['.'],[' '],0.9831200242042542,0.0,14.412847518920898,14.412847518920898,0.0715777650475502,0.005516524426639,0.0085684768855571,0.0038191154599189,0.3334834575653076,0.5095958113670349,0.0637498274445533,0.0036889992188662,0.0,,,,,,,,,
[' '],[' '],2.3631865978240967,0.0,14.412847518920898,14.412847518920898,0.0582350753247737,0.0011590761132538,0.0034443822223693,0.011806801892817,0.0082379886880517,0.7858694195747375,0.1172705441713333,0.0139768747612833,0.0,,,,,,,,,
[' Yeah'],[' '],2.3631865978240967,0.0,14.412847518920898,14.412847518920898,0.0318869143724441,0.0021576127503067,0.0022955354535952,0.0039181072032079,0.0092461091466248,0.8579434871673584,0.0810252383351326,0.0115270009264349,0.0,,,,,,,,,
[' '],[' '],0.4286354184150696,0.0,14.412847518920898,14.412847518920898,0.0445024248212575,0.0024718768661841,0.0015966354287229,0.0029684812412597,0.0061499198782257,0.8645750522613526,0.0595376685261726,0.0181979313492774,0.0,,,,,,,,,
['.'],[' '],0.4286354184150696,0.0,14.412847518920898,14.412847518920898,0.0321152620017528,0.001419031061232,0.0010921399458311,0.0097086478956043,0.0012223283760249,0.8478819489479065,0.0659459523856639,0.040614678710699,0.0,,,,,,,,,
[' Yeah'],[' '],1.9651976823806763,0.0,14.412847518920898,14.412847518920898,0.0424998849630355,0.0013059683842584,0.0014613257517339,0.0201442982070148,0.0010996545461239,0.8044185340404509,0.0600346270948648,0.0690357228741049,0.0,,,,,,,,,
[' '],[' '],0.22691583633422852,0.0,14.412847518920898,14.412847518920898,0.028591101616621,0.0015604687272571,0.0010216549038887,0.0113965658470988,0.0010775226284749,0.8390640616416931,0.0814501605927944,0.0358384661376476,0.0,,,,,,,,,
['.'],[' '],0.22691583633422852,0.0,14.412847518920898,14.412847518920898,0.0897471360862255,0.0017887400696054,0.0023305831477046,0.0105947616510093,0.0019309866940602,0.7978707075119018,0.0841117441654205,0.0116253432817757,0.0,,,,,,,,,
