,timestamp,real_time,speaker,content
0,00:00:00,2021-05-05 08:06:20,Parent,... Jibo.
1,00:00:00,2021-05-05 08:06:20,Child,Jibo.
2,00:00:00,2021-05-05 08:06:20,Parent,I think he's ready for listening on.
3,00:00:00,2021-05-05 08:06:20,Child,It's Jibo. Jibo.
4,00:00:00,2021-05-05 08:06:20,Parent,Did I say Chibo?
5,00:00:00,2021-05-05 08:06:20,Child,Yeah.
6,00:00:00,2021-05-05 08:06:20,Parent,(laughs).
7,00:00:00,2021-05-05 08:06:20,Robot,Hello. Morning.
8,00:00:00,2021-05-05 08:06:20,Child,Morning.
9,00:00:21,2021-05-05 08:06:41,Robot,I am now on story time mode. My camera will now turn on and start audio and video recording. Let's get started.
10,00:00:29,2021-05-05 08:06:49,Parent,Whoo-hoo!
11,00:00:30,2021-05-05 08:06:50,Robot,"Now, we will be reading story books together. If you haven't already, please open the Jibo Story Time App. Let's go ahead and select a book on the app."
12,00:00:41,2021-05-05 08:07:01,Parent,"Okay, do you want short story or long story?"
13,00:00:41,2021-05-05 08:07:01,Child,Long story again.
14,00:00:41,2021-05-05 08:07:01,Parent,Okay.
15,00:00:44,2021-05-05 08:07:04,Child,Long story.
16,00:00:52,2021-05-05 08:07:12,Parent,"Yes, well, let's choose different stories."
17,00:00:54,2021-05-05 08:07:14,Child,[crosstalk 00:00:54]-
18,00:00:54,2021-05-05 08:07:14,Parent,"So look, there's more books to choose from. You wanna hit more books?"
19,00:00:54,2021-05-05 08:07:14,Child,More books.
20,00:01:00,2021-05-05 08:07:20,Parent,"Well, you were supposed to hit it, and it didn't work. Oh, there we go. Three Little Pigs, The Year at Maple Hill Farm. Three, which one?"
21,00:01:00,2021-05-05 08:07:20,Child,This one.
22,00:01:12,2021-05-05 08:07:32,Parent,"Yeah? Okay, we're ready Jibu. Jibo. Okay, ready? The Three Little Pigs. Once upon a time an old sow sent her three little pigs out into the world to seek their fortune. ""Now, be sure to write,"" she said, ""and remember that I love you."" See, she's crying."
23,00:01:34,2021-05-05 08:07:54,Child,Yeah.
24,00:01:34,2021-05-05 08:07:54,Parent,She's sad that they're leaving?
25,00:01:35,2021-05-05 08:07:55,Child,Yeah. And finding their own home.
26,00:01:39,2021-05-05 08:07:59,Parent,"Mm-hmm (affirmative). The first little pig met a man with a load of straw. ""I know,"" said the little pig. ""I'll buy your straw and build a house."" ""That's not a good idea,"" said the man. ""Mind your own business sa-... Thank you,"" said the little pig. And he bought the straw and set about building a house. It took him no time at all. Very soon a lean and hungry wolf happened by. Pig was just about his favorite food in the world. So he knocked on the door. He said, ""Little pig, little pig, let me come in."" To which the little pig replied, ""No, no. Not by the hair on my chinny-chin-chin."" You know this."
27,00:02:23,2021-05-05 08:08:43,Robot,"Hey, Adam, why is the wolf lean?"
28,00:02:29,2021-05-05 08:08:49,Parent,"Why is he lean? It means, like, thin, skinny."
29,00:02:33,2021-05-05 08:08:53,Child,"Uh, that's just what wolves are like."
30,00:02:42,2021-05-05 08:09:02,Parent,You don't think it's because he's-
31,00:02:42,2021-05-05 08:09:02,Child,Hungry.
32,00:02:42,2021-05-05 08:09:02,Parent,Because he needs to eat (laughs). This an-
33,00:02:46,2021-05-05 08:09:06,Robot,[crosstalk 00:02:46]-
34,00:02:50,2021-05-05 08:09:10,Parent,"Oop! (laughs) This annoyed the wolf to no end. And he said, ""Then I'll huff and I'll puff and I'll blow your house in."" ""Go right ahead,"" said the little pig. So the wolf huffed and he puffed and he blew the house in. And he gobbled up the little pig. Oh no!"
35,00:03:04,2021-05-05 08:09:24,Child,No he didn't.
36,00:03:07,2021-05-05 08:09:27,Parent,That's what it says.
37,00:03:07,2021-05-05 08:09:27,Child,I don't think so.
38,00:03:09,2021-05-05 08:09:29,Parent,"The second little pit met a man with a load of sticks. ""I've got it,"" said the little pig, ""I'll buy those sticks and build a house."" ""I'd think twice about that,"" said the man. But did he sell them?"
39,00:03:22,2021-05-05 08:09:42,Child,Yes.
40,00:03:24,2021-05-05 08:09:44,Parent,"""Oh, poo."" Said the little pig. ""What would you know?"" And he bought the sticks and went to work building a house. ""Very pretty,"" he said. Ooh, look at the house."
41,00:03:34,2021-05-05 08:09:54,Robot,What do you think will happen to the second little pig?
42,00:03:36,2021-05-05 08:09:56,Parent,"Oh, look at the picture!"
43,00:03:36,2021-05-05 08:09:56,Child,He'll get gobbled.
44,00:03:36,2021-05-05 08:09:56,Parent,He'll get what?
45,00:03:36,2021-05-05 08:09:56,Child,Eaten.
46,00:03:41,2021-05-05 08:10:01,Parent,He'll get eaten?
47,00:03:44,2021-05-05 08:10:04,Child,Mm-hmm (affirmative).
48,00:03:44,2021-05-05 08:10:04,Parent,Why?
49,00:03:44,2021-05-05 08:10:04,Child,"'Cause, 'cause, 'cause that's what it said on the short page. And maybe it will happen on this page."
50,00:03:51,2021-05-05 08:10:11,Parent,Do you think that the house of sticks is strong or weak?
51,00:03:55,2021-05-05 08:10:15,Child,Weak.
52,00:03:55,2021-05-05 08:10:15,Parent,Weak?
53,00:03:57,2021-05-05 08:10:17,Child,"Yeah, but the bricks one-"
54,00:03:58,2021-05-05 08:10:18,Parent,"Oh, you know... You know this story, so it's easy to, to have an idea. Yeah, okay. So it says, no sooner had the little pig settled into his pretty house than the wolf happened by. He was still hungry, and he said, ""Little pig, little pig, let me come in!"" To which the little pig replied, ""No, no, no! Not by the hair on my chinny-chin-chin."" So what did the wolf do?"
55,00:04:21,2021-05-05 08:10:41,Child,He blew his house down.
56,00:04:24,2021-05-05 08:10:44,Parent,"Oh, no. The wolf didn't care for that at all. He said, ""I'll huff and I'll puff, and I'll blow your house in!"" ""Ha, ha, ha,"" said the little (laughing), said the little pig. So the wolf huffed and he puffed, and blew the house in. And he gobbled up the little-"
57,00:04:43,2021-05-05 08:11:03,Child,Pig.
58,00:04:43,2021-05-05 08:11:03,Parent,"... pig. Now the third little pig met a man with a load of stick. ""These bricks will make a fi-""... I'm sorry, bricks (laughs). ""These bricks will make a fine, sturdy house,"" said the man. ""Capital idea, my good fellow,"" said the little pig. So he bought the bricks and set about building a house. It took him quite a bit of time, but it was well worth it. ""Nice and solid,"" said the little pig, ""nice and solid."" Look at that house. But no sooner had the little pig moved in then, than he noticed the wolf loitering about. That's like hanging about. And the wolf, who was still hungry, said, ""Little pig, little pig, let me come in."" To which the little pig replied, ""No, no, no! Not by the hair on my chinny-chin-chin."""
59,00:05:35,2021-05-05 08:11:55,Robot,What does loitering mean?
60,00:05:35,2021-05-05 08:11:55,Parent,"Remember, I just said it?"
61,00:05:35,2021-05-05 08:11:55,Child,I don't know.
62,00:05:41,2021-05-05 08:12:01,Parent,Loitering means what?
63,00:05:41,2021-05-05 08:12:01,Child,I don't know.
64,00:05:42,2021-05-05 08:12:02,Parent,It's just-
65,00:05:43,2021-05-05 08:12:03,Child,[inaudible 00:05:43]-
66,00:05:43,2021-05-05 08:12:03,Parent,... hanging around?
67,00:05:43,2021-05-05 08:12:03,Child,Hanging around.
68,00:05:43,2021-05-05 08:12:03,Parent,Tell it to Jibo.
69,00:05:43,2021-05-05 08:12:03,Child,It just means he's hanging around.
70,00:05:51,2021-05-05 08:12:11,Robot,You are right.
71,00:05:53,2021-05-05 08:12:13,Parent,"(laughs) Mommy told you, that's why Jibo asked, because I had already just told you so [inaudible 00:05:57] the thing he asked, huh?"
72,00:06:00,2021-05-05 08:12:20,Child,Mm-hmm (affirmative).
73,00:06:00,2021-05-05 08:12:20,Parent,"So now you know loitering means just, like, hanging around."
74,00:06:03,2021-05-05 08:12:23,Child,Mm-hmm (affirmative).
75,00:06:05,2021-05-05 08:12:25,Parent,"Yeah. So, well, the wolf had heard that before. He said, ""Then I'll huff and I'll puff and I'll blow your house in!"" ""Oh, don't do that,"" said the little pig. Why not? But the wolf huffed and he puffed and he huffed and he puffed until he was quite blue in the face. The house stood firm. ""I'll try another approach,"" muttered the wolf. That means I'll try a different [inaudible 00:06:33]. And he put on his most dazzling smile. ""Little pig, I was only teasing,"" he said. ""By the way, I hear tell that Farmer Jones has the most scrumptious turnips."" Hm. ""So,"" I'm sorry, ""shall we go pick a few?"" ""I am much too busy now,"" said the little pig. ""What about tomorrow morning?"" ""Excellent,"" said the wolf. ""I'll come for you at six."" I don't know this part [inaudible 00:07:05], did you?"
76,00:07:05,2021-05-05 08:13:25,Robot,What is the wolf doing?
77,00:07:05,2021-05-05 08:13:25,Parent,What's he doing?
78,00:07:05,2021-05-05 08:13:25,Child,Making friends?
79,00:07:11,2021-05-05 08:13:31,Parent,"What is he trying to do to the pig, though? He's trying to get him where?"
80,00:07:13,2021-05-05 08:13:33,Child,"Uh, eat?"
81,00:07:17,2021-05-05 08:13:37,Parent,Get him out of his-
82,00:07:18,2021-05-05 08:13:38,Child,House.
83,00:07:19,2021-05-05 08:13:39,Parent,... so that he can do-
84,00:07:19,2021-05-05 08:13:39,Robot,I think so.
85,00:07:19,2021-05-05 08:13:39,Parent,So he can do what?
