,timestamp,real_time,speaker,content
0,00:00:00,2021-06-02 21:30:37,Robot,Hello.
1,00:00:02,2021-06-02 21:30:39,Parent,"Hi, Jibo."
2,00:00:04,2021-06-02 21:30:41,Robot,"I am now on Story Time mode. My camera will now turn on and start audio and video recording. Let's get started. Now, we will be reading story books together. If you haven't already, please open the Jibo Story Time app. Let's go ahead and select a book on the app."
3,00:00:40,2021-06-02 21:31:17,Parent,[inaudible 00:00:40].
4,00:00:42,2021-06-02 21:31:19,Robot,Let's get started.
5,00:00:47,2021-06-02 21:31:24,Parent,"The Three Billy Goats Gruff, right? [inaudible 00:00:54]."
6,00:00:58,2021-06-02 21:31:35,Child,"[inaudible 00:00:58] Once upon a time there were three Billy goats, they lived in a valley [inaudible 00:01:07] in the valley, the Billy goats [inaudible 00:01:18] meadow full of grass and [inaudible 00:01:24]. And under the bridge was a troll who [inaudible 00:01:45]."
7,00:01:53,2021-06-02 21:32:30,Parent,[inaudible 00:01:53]
8,00:02:26,2021-06-02 21:33:03,Child,"The youngest Billy goat was starting to [inaudible 00:02:27] coming to gobble you up. ""Oh please, oh please don't [inaudible 00:03:06] I'm [inaudible 00:03:06] please [inaudible 00:03:06]."" Later, the second Billy goat was [inaudible 00:03:06]"
9,00:03:06,2021-06-02 21:33:43,Parent,How many[inaudible 00:03:06]?
10,00:03:06,2021-06-02 21:33:43,Child,"[inaudible 00:03:06] ""Oh, if only I, the second Billy goat, but I'm going [inaudible 00:03:06]"
11,00:03:06,2021-06-02 21:33:43,Parent,Fast [crosstalk 00:03:06] Billy goat.
12,00:03:06,2021-06-02 21:33:43,Child,[inaudible 00:03:06]
13,00:03:06,2021-06-02 21:33:43,Parent,[inaudible 00:03:06].
14,00:03:06,2021-06-02 21:33:43,Child,[inaudible 00:03:06] friend [inaudible 00:03:06] he didn't [inaudible 00:03:06] He has [inaudible 00:03:06]. Clip clop clip clop.
15,00:03:06,2021-06-02 21:33:43,Parent,Clip clop clop clop.
16,00:03:05,2021-06-02 21:33:42,Child,"On the bridge. The third Billy oat was so heavy that the bridge [inaudible 00:03:24]. ""Who's that?"" Grumpy old [inaudible 00:03:24] Billy goat gruff [inaudible 00:03:24] now and [inaudible 00:03:24] see why you [inaudible 00:03:27] started and [inaudible 00:04:37] he [inaudible 00:04:43] over the blue [inaudible 00:04:46] one Billy goat gruff [inaudible 00:04:51] they're probably [inaudible 00:05:04]"
17,00:05:10,2021-06-02 21:35:47,Parent,So what did we learn? [crosstalk 00:05:10] So what did we learn from it?
18,00:05:10,2021-06-02 21:35:47,Child,Yeah.
19,00:05:10,2021-06-02 21:35:47,Parent,What did we learn?
20,00:05:10,2021-06-02 21:35:47,Child,Nothing.
21,00:03:27,2021-06-02 21:34:04,Parent,Did we? What happened [inaudible 00:05:17].
22,00:05:21,2021-06-02 21:35:58,Child,[inaudible 00:05:21]
23,00:03:27,2021-06-02 21:34:04,Parent,It's not [inaudible 00:04:34]. What was the moral of the story? What did the [crosstalk 00:04:34]
24,00:03:27,2021-06-02 21:34:04,Child,Yeah.
25,00:05:36,2021-06-02 21:36:13,Parent,[inaudible 00:05:36] what did the [inaudible 00:05:36]? Where did that one go?
26,00:04:41,2021-06-02 21:35:18,Child,Yeah.
27,00:04:48,2021-06-02 21:35:25,Parent,Where did that one go?
28,00:04:57,2021-06-02 21:35:34,Child,[inaudible 00:04:57]
29,00:04:57,2021-06-02 21:35:34,Parent,[inaudible 00:04:57] another one?
30,00:05:45,2021-06-02 21:36:22,Child,Yeah.
31,00:05:48,2021-06-02 21:36:25,Parent,[inaudible 00:05:48].
32,00:05:48,2021-06-02 21:36:25,Robot,That was a great story. Want to read another one?
33,00:05:53,2021-06-02 21:36:30,Child,Yes.
34,00:05:54,2021-06-02 21:36:31,Parent,[inaudible 00:05:54]
35,00:05:53,2021-06-02 21:36:30,Child,This [inaudible 00:05:55] one.
36,00:05:54,2021-06-02 21:36:31,Parent,"Well, which one?"
37,00:06:07,2021-06-02 21:36:44,Child,[inaudible 00:06:07] this one.
38,00:06:10,2021-06-02 21:36:47,Parent,[inaudible 00:06:10]. Next start. [inaudible 00:06:14]. Three little pigs. [inaudible 00:06:17].
39,00:06:17,2021-06-02 21:36:54,Child,"Once they ... Or, once upon a time there was three little pigs [inaudible 00:06:17] One day mother said, ""[inaudible 00:06:17] and build your own house [inaudible 00:06:17] safe from the big bad wolf."" The [inaudible 00:06:48] straw. [inaudible 00:07:02] he built his house [inaudible 00:07:04] made out of [inaudible 00:07:10]"
40,00:07:15,2021-06-02 21:37:52,Parent,"[inaudible 00:07:15] pig, [inaudible 00:07:17] pig of all."
41,00:09:11,2021-06-02 21:39:48,Child,"He, he [crosstalk 00:07:22] [inaudible 00:07:24] strong house [inaudible 00:07:27] from the big bad wolf. [inaudible 00:07:36] were separate [inaudible 00:07:40]. The big bad wolf nodded and [inaudible 00:07:45] ""little pig, little pig, let me come in."" [inaudible 00:07:51]"
42,00:07:55,2021-06-02 21:38:32,Parent,Chinny chin chin! Just like the [inaudible 00:07:55] like that.
43,00:07:59,2021-06-02 21:38:36,Child,[inaudible 00:07:59] wolf [inaudible 00:09:14] the wolf and [inaudible 00:09:14]
44,00:09:14,2021-06-02 21:39:51,Parent,[crosstalk 00:09:14]
45,00:09:14,2021-06-02 21:39:51,Child,"[inaudible 00:09:14] ""So I'll huff and I'll puff and I'll blow your house down."" So he huffed and he puffed and [inaudible 00:09:14]. The third pig [inaudible 00:09:14] ""Little pig, let [inaudible 00:09:14]"" [inaudible 00:09:14] ""Little pig, little pig, let me come in."" ""Not by the hair of my chinny chin chin."" ""Then I'll huff and I'll puff and I'll blow your house in."""
46,00:09:17,2021-06-02 21:39:54,Parent,Can you blow the house? No? [inaudible 00:09:17].
47,00:09:17,2021-06-02 21:39:54,Child,"[inaudible 00:09:17] the wolf huffed and puffed and [inaudible 00:09:18] house down. [inaudible 00:09:18] ""I'll get you little pig [inaudible 00:09:21]"" climbed up on the roof and [inaudible 00:09:42] the chimney."
48,00:09:42,2021-06-02 21:40:19,Parent,I think I remember you [inaudible 00:09:42] something like that.
49,00:09:42,2021-06-02 21:40:19,Child,Yeah. [inaudible 00:09:42] the wolf slid down the chimney and was met by [inaudible 00:09:42] big bad wolf never wanted [inaudible 00:09:42] and they lived happily ever after. The end.
50,00:09:42,2021-06-02 21:40:19,Others,[inaudible 00:09:42].
51,00:09:42,2021-06-02 21:40:19,Parent,So.
52,00:09:42,2021-06-02 21:40:19,Child,[inaudible 00:09:42]
53,00:09:42,2021-06-02 21:40:19,Parent,[inaudible 00:09:42] maybe he wants me to answer something? [inaudible 00:10:43].
54,00:10:45,2021-06-02 21:41:22,Robot,Great. Thank you for reading stories to me. Maybe read another short book.
55,00:10:53,2021-06-02 21:41:30,Child,[inaudible 00:10:53].
56,00:10:58,2021-06-02 21:41:35,Parent,"Okay.  [inaudible 00:10:59] listening, [inaudible 00:11:01] you see that? [inaudible 00:11:04] find something to do, [inaudible 00:11:24]?"
57,00:11:24,2021-06-02 21:42:01,Child,"[inaudible 00:11:24] and I have two eyes, a nose ... I have two [inaudible 00:11:27] my eyes and [inaudible 00:11:39] my child, my dog, my, my [inaudible 00:11:45]"
58,00:11:49,2021-06-02 21:42:26,Parent,"(laughs), why do you [inaudible 00:11:49]. A horse? You can smell a horse? You can smell flowers. [crosstalk 00:11:56] can you please [inaudible 00:12:06]. Have you ever tasted [inaudible 00:12:11]?"
59,00:12:12,2021-06-02 21:42:49,Child,[inaudible 00:12:12]
60,00:12:13,2021-06-02 21:42:50,Parent,[inaudible 00:12:13].
61,00:12:15,2021-06-02 21:42:52,Child,[inaudible 00:12:15]
62,00:12:19,2021-06-02 21:42:56,Parent,(laughs) [inaudible 00:12:19].
63,00:12:19,2021-06-02 21:42:56,Child,And fire engine.
64,00:12:19,2021-06-02 21:42:56,Parent,Fire engine.
65,00:12:22,2021-06-02 21:42:59,Child,[inaudible 00:12:22]
66,00:12:22,2021-06-02 21:42:59,Parent,Yeah.
67,00:12:26,2021-06-02 21:43:03,Child,[inaudible 00:12:26]
68,00:12:28,2021-06-02 21:43:05,Parent,Did you hear what [inaudible 00:12:28] is?
69,00:12:31,2021-06-02 21:43:08,Child,[inaudible 00:12:31] sand.
70,00:12:31,2021-06-02 21:43:08,Parent,Mm-hmm (affirmative).
71,00:12:31,2021-06-02 21:43:08,Child,Water.
72,00:12:31,2021-06-02 21:43:08,Parent,Mm-hmm (affirmative).
73,00:12:40,2021-06-02 21:43:17,Child,And the [inaudible 00:12:40].
