,timestamp,real_time,speaker,content
0,00:00:00,2021-06-10 19:04:27,Robot,Hello.
1,00:00:00,2021-06-10 19:04:27,Parent,Hi.
2,00:00:04,2021-06-10 19:04:31,Child,Hi.
3,00:00:04,2021-06-10 19:04:31,Robot,"You're now on story-time mode. My camera will now turn on and start audio and video recording. Let's get started. Now, we will be reading storybooks together. If you haven't already, please open the Jibo story time app. Let's go ahead and select a book on the app."
4,00:00:28,2021-06-10 19:04:55,Child,The [inaudible 00:00:29] time?
5,00:00:28,2021-06-10 19:04:55,Parent,"It says this is long. Do you want... or this short. Do you want a longer one, or a short one?"
6,00:00:33,2021-06-10 19:05:00,Child,Mkay.
7,00:00:33,2021-06-10 19:05:00,Parent,"That means we're probably going to do more than one. You wanna pick one?. Oh, you want to do that one again?"
8,00:00:33,2021-06-10 19:05:00,Child,(laughs).
9,00:00:48,2021-06-10 19:05:15,Parent,"Hold on a second, let me ask."
10,00:00:49,2021-06-10 19:05:16,Child,"Chicka Chicka Boom. Chicka Chicka Boom Boom. Chicka Chicka Boom Boom. I want to do that, Dad."
11,00:01:20,2021-06-10 19:05:47,Parent,"You can do that. ""A told B, and B told C-"""
12,00:01:23,2021-06-10 19:05:50,Child,"""B told C..."""
13,00:01:25,2021-06-10 19:05:52,Parent,"""'I'll meet you at the top of the coconut tree.'"""
14,00:01:25,2021-06-10 19:05:52,Child,"""'... the top of the coconut tree.'"" (laughs)."
15,00:01:36,2021-06-10 19:06:03,Parent,"Hit the page. ""'Whee,' said D to E F G."""
16,00:01:38,2021-06-10 19:06:05,Child,"""... said D to E F G."""
17,00:01:41,2021-06-10 19:06:08,Parent,"""'I'll beat you to the top of the coconut tree.'"""
18,00:01:42,2021-06-10 19:06:09,Child,"""'I'll beat you to the top of the coconut tree.'"""
19,00:01:47,2021-06-10 19:06:14,Parent,How about either I'm reading or you're reading? You want me to read? Okay.
20,00:01:47,2021-06-10 19:06:14,Child,Yeah.
21,00:01:47,2021-06-10 19:06:14,Parent,"""Chicka chicka boom boom-"""
22,00:01:50,2021-06-10 19:06:17,Child,"""Boom boom."""
