turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5bc0bcb38b1ded0001bfaa58,94.34,95.86,Can you hear me?,,1.519999999999996,1,True,False,4
1,5ede3d2ef7c9f9068776c4d2,95.74,97.06,"Yeah, you mean?",-0.12000000000000455,1.3200000000000074,1,True,True,3
2,5bc0bcb38b1ded0001bfaa58,98.94,109.06,"Wait, I can't hear you. Ah Wait, could you say something?",1.8799999999999955,10.120000000000005,1,True,False,12
3,5ede3d2ef7c9f9068776c4d2,109.54,113.45,"Yes. Hi, I'm Andy, can you hear me?",0.480000000000004,3.9099999999999966,1,True,False,9
4,5bc0bcb38b1ded0001bfaa58,114.24,118.18,Okay I just had to turn my volume all the way up so,0.789999999999992,3.940000000000012,0,False,False,13
5,5ede3d2ef7c9f9068776c4d2,118.14,118.56,"Oh,",-0.04000000000000625,0.4200000000000017,0,False,True,1
6,5bc0bcb38b1ded0001bfaa58,118.18,121.76,"I might, so it's still a little bit faint.",-0.37999999999999545,3.5799999999999983,0,False,True,10
7,5ede3d2ef7c9f9068776c4d2,122.24,130.86,"I'm sorry about that. I have my microphone over here now, it's a little bit closer but",0.47999999999998977,8.620000000000019,0,False,False,19
8,5bc0bcb38b1ded0001bfaa58,131.74,135.54,I can hear you better. I might just have to like every once in a while. Just my,0.8799999999999955,3.799999999999983,0,False,False,18
9,5ede3d2ef7c9f9068776c4d2,135.54,135.6,Uh,0.0,0.060000000000002274,0,False,False,1
10,5bc0bcb38b1ded0001bfaa58,135.54,135.69,my,-0.060000000000002274,0.15000000000000568,0,False,True,1
11,5ede3d2ef7c9f9068776c4d2,135.6,136.04,huh,-0.09000000000000341,0.4399999999999977,0,False,True,1
12,5bc0bcb38b1ded0001bfaa58,135.69,136.55,earphones.,-0.3499999999999943,0.8600000000000136,0,False,True,1
13,5ede3d2ef7c9f9068776c4d2,137.34,137.84,Uh huh.,0.789999999999992,0.5,0,False,False,2
14,5bc0bcb38b1ded0001bfaa58,140.04,141.36,Okay how are you?,2.1999999999999886,1.3200000000000216,1,True,False,4
15,5ede3d2ef7c9f9068776c4d2,141.94,143.86,I'm doing fine. How are you?,0.5799999999999841,1.920000000000016,1,True,False,7
16,5bc0bcb38b1ded0001bfaa58,144.14,151.05,"I'm doing very well. Yeah where you can, I don't know if I can ask where you're located but I hear like an accent.",0.2799999999999727,6.910000000000025,0,False,False,27
17,5ede3d2ef7c9f9068776c4d2,151.74,158.66,"Yeah, I am originally from Germany, but I live in the United States since 2007.",0.6899999999999977,6.9199999999999875,0,False,False,15
18,5bc0bcb38b1ded0001bfaa58,159.04,162.45,Oh cool. I have some family in Germany.,0.37999999999999545,3.4099999999999966,0,False,False,8
19,5ede3d2ef7c9f9068776c4d2,162.14,162.35,Mhm,-0.3100000000000023,0.21000000000000796,0,False,True,1
20,5bc0bcb38b1ded0001bfaa58,162.46,169.16,Uh and I visit probably every two years. They currently live in like Frankfurt.,0.11000000000001364,6.699999999999989,0,False,False,14
21,5ede3d2ef7c9f9068776c4d2,169.54,169.79,Uh,0.37999999999999545,0.25,0,False,False,1
22,5bc0bcb38b1ded0001bfaa58,169.54,170.35,Berlin,-0.25,0.8100000000000023,0,False,True,1
23,5ede3d2ef7c9f9068776c4d2,169.79,170.96,huh. Mhm.,-0.5600000000000023,1.170000000000016,0,False,True,2
24,5bc0bcb38b1ded0001bfaa58,171.14,172.81,"stood guards, so",0.1799999999999784,1.670000000000016,0,False,False,3
25,5ede3d2ef7c9f9068776c4d2,172.74,172.93,All,-0.06999999999999318,0.18999999999999773,0,False,True,1
26,5bc0bcb38b1ded0001bfaa58,172.81,173.01,that's,-0.12000000000000455,0.19999999999998863,0,False,True,2
27,5ede3d2ef7c9f9068776c4d2,172.93,173.25,"right,",-0.07999999999998408,0.3199999999999932,0,False,True,1
28,5bc0bcb38b1ded0001bfaa58,173.01,173.36,cool,-0.2400000000000091,0.35000000000002274,0,False,True,1
29,5ede3d2ef7c9f9068776c4d2,173.84,175.46,"I'm from cologne,",0.47999999999998977,1.6200000000000045,0,False,False,4
