turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5a8d5e4e000dab00018ce464,3.74,327.66,"Mhm. Mhm, mm. Thanks. Mhm. Yeah. Yeah. Mhm. Mhm. Yeah. Yeah. Oh yeah. Yeah. Mhm, wow, mm hmm. Yeah. Mhm. Yeah, mm hmm. Mhm. Yeah, mm. You don't have to, yeah. Mhm. Yeah. Yeah. Yeah. Yeah. Yeah. Uh huh. Mhm. Yeah, mm. One of the 20th century. Mhm. Big deal. He's from china. I'm like, well, yeah. Mhm. Yeah. Yeah. Right. Mhm. Yeah. Yeah. Right, mm. Yeah. Mhm. All right. Yeah. Mhm. Yeah. Thank you. All right. Yeah. Yeah. Mhm. Mhm. Mhm. Yeah. You can get Yeah. Yeah. Okay. Yeah. Yeah, mm hmm. People. Yeah. Yeah. Mhm. Yeah. Yeah. Yeah. Yes. Yeah. Mhm. Mhm. Mhm. Mhm, mm hmm. Okay. Mhm. Oh God. Mhm mm hmm. Mhm. Yeah. You can make it. Mhm. Mhm. Mhm. Yeah. What? Yeah. Yeah. Right. Uh huh. Uh huh. Yeah. Yeah. Well. Mhm. Yeah. Yeah. Yeah. Mhm. Mhm. Yeah, mm hmm. Yeah. Yeah. Mhm. Mhm. Mhm. Mhm. Mhm. Thank you. Mhm. Mhm. Yeah. Mhm. Yeah. Right. Mhm. Mhm. Yeah. No, mm. Yeah. Mhm. Okay. Yeah. Yeah. Mhm. Mhm. Mhm. Mhm.",,323.92,1,False,False,177
1,5bd4cb4f25db7b000179488d,327.44,328.85,"Hi,",-0.22000000000002728,1.410000000000025,0,False,True,1
2,5a8d5e4e000dab00018ce464,328.84,331.06,Hey there how are you?,-0.010000000000047748,2.2200000000000273,1,True,True,5
3,5bd4cb4f25db7b000179488d,330.84,332.55,how are you?,-0.22000000000002728,1.7100000000000364,1,True,True,3
4,5a8d5e4e000dab00018ce464,332.44,333.66,I'm good,-0.11000000000001364,1.2200000000000273,0,False,True,3
5,5bd4cb4f25db7b000179488d,333.94,335.65,You're good. Uh,0.2799999999999727,1.7099999999999795,0,False,False,4
6,5a8d5e4e000dab00018ce464,335.84,336.16,yeah,0.18999999999999773,0.32000000000005,0,False,False,1
7,5bd4cb4f25db7b000179488d,336.04,337.29,I was everything my name,-0.12000000000000455,1.25,0,False,True,5
8,5a8d5e4e000dab00018ce464,337.14,337.35,mm.,-0.1500000000000341,0.21000000000003638,0,False,True,1
9,5bd4cb4f25db7b000179488d,337.29,338.35,is Erica.,-0.060000000000002274,1.0600000000000023,0,False,True,2
10,5a8d5e4e000dab00018ce464,338.84,341.15,Erica it's nice to meet you. I'm chris,0.48999999999995225,2.3100000000000023,0,False,False,10
11,5bd4cb4f25db7b000179488d,341.64,344.06,"Nice to meet you. Trace, where are you from",0.4900000000000091,2.420000000000016,0,False,False,9
12,5a8d5e4e000dab00018ce464,344.34,347.96,um from Kentucky probably. You've never heard of the town.,0.2799999999999727,3.6200000000000045,0,False,False,11
13,5bd4cb4f25db7b000179488d,348.54,351.63,Kentucky? I,0.5800000000000409,3.089999999999975,1,False,False,2
14,5a8d5e4e000dab00018ce464,350.34,350.76,Um,-1.2900000000000205,0.4200000000000159,0,False,True,1
15,5bd4cb4f25db7b000179488d,351.64,355.26,heard of Kentucky before. I'm from Greenville north Carolina.,0.8799999999999955,3.6200000000000045,0,False,False,10
16,5a8d5e4e000dab00018ce464,355.84,356.68,Okay,0.5799999999999841,0.8400000000000318,0,False,False,1
17,5bd4cb4f25db7b000179488d,356.14,356.35,Oh,-0.5400000000000205,0.21000000000003638,0,False,True,1
18,5a8d5e4e000dab00018ce464,356.69,357.35,okay I've,0.339999999999975,0.660000000000025,0,False,False,3
19,5bd4cb4f25db7b000179488d,357.24,357.45,okay.,-0.11000000000001364,0.20999999999997954,0,False,True,1
20,5a8d5e4e000dab00018ce464,357.35,359.05,been through there once or twice.,-0.0999999999999659,1.6999999999999886,0,False,True,6
21,5bd4cb4f25db7b000179488d,359.44,365.26,Yes. So how's everything on your end Forest dealing with the covid going on?,0.38999999999998636,5.819999999999993,1,True,False,15
22,5a8d5e4e000dab00018ce464,366.14,367.7,Um pretty good.,0.8799999999999955,1.5600000000000023,0,False,False,3
23,5bd4cb4f25db7b000179488d,367.44,367.76,Oh.,-0.2599999999999909,0.3199999999999932,0,False,True,1
24,5a8d5e4e000dab00018ce464,367.7,370.78,We we didn't have a lot of cases to begin with.,-0.060000000000002274,3.079999999999984,0,False,True,12
25,5bd4cb4f25db7b000179488d,370.64,371.45,Mhm.,-0.13999999999998636,0.8100000000000023,0,False,True,1
26,5a8d5e4e000dab00018ce464,370.79,374.05,Uh you know it's a real small town so,-0.6599999999999682,3.259999999999991,0,False,True,10
27,5bd4cb4f25db7b000179488d,373.94,374.14,Yeah.,-0.11000000000001364,0.19999999999998863,0,False,True,1
