transcript,prompt,n_utterances,speakers,response,response_utterances,response_n_lines,n_responses_match
"[Teacher]: ""Good morning, John. Did you complete your homework?""
[Student]: ""Yes, I did.""
[Teacher]: ""Great! Can you show it to me?""
[Student]: ""Sure, here it is.""
[Teacher]: ""Well done, John. Keep up the good work.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Good morning, John. Did you complete your homework?""
[Student]: ""Yes, I did.""
[Teacher]: ""Great! Can you show it to me?""
[Student]: ""Sure, here it is.""
[Teacher]: ""Well done, John. Keep up the good work.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information seeking
Information giving
Information seeking
Information giving
Information giving","['Information seeking', 'Information giving', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Student]: ""I have a question about the assignment.""
[Teacher]: ""Sure, what's your question?""
[Student]: ""I don't understand this part.""
[Teacher]: ""Let me explain it to you.""
[Student]: ""Okay, I understand now. Thank you.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""I have a question about the assignment.""
[Teacher]: ""Sure, what's your question?""
[Student]: ""I don't understand this part.""
[Teacher]: ""Let me explain it to you.""
[Student]: ""Okay, I understand now. Thank you.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Information seeking
Information giving
Information giving","['Information seeking', 'Information giving', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Let's start the class. Open your books to page 34.""
[Student]: ""Okay.""
[Teacher]: ""Today, we will learn about the solar system.""
[Student]: ""Sounds interesting.""
[Teacher]: ""Let's start with the sun.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Let's start the class. Open your books to page 34.""
[Student]: ""Okay.""
[Teacher]: ""Today, we will learn about the solar system.""
[Student]: ""Sounds interesting.""
[Teacher]: ""Let's start with the sun.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Neutral
Information giving","['Information giving', 'Neutral', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""I'm having trouble with this problem.""
[Teacher]: ""Let's go through it together.""
[Student]: ""I'm still not getting it.""
[Teacher]: ""Don't worry. Let's try a different approach.""
[Student]: ""That makes sense. Thanks for your help.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""I'm having trouble with this problem.""
[Teacher]: ""Let's go through it together.""
[Student]: ""I'm still not getting it.""
[Teacher]: ""Don't worry. Let's try a different approach.""
[Student]: ""That makes sense. Thanks for your help.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Information seeking
Information giving
Information giving","['Information seeking', 'Information giving', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Today, we will have a quiz. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Good. Let's start.""
[Student]: ""Okay.""
[Teacher]: ""First question, what is the capital of France?""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today, we will have a quiz. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Good. Let's start.""
[Student]: ""Okay.""
[Teacher]: ""First question, what is the capital of France?""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Information seeking
Information giving
Neutral
Information seeking","['Information giving', 'Information seeking', 'Information giving', 'Neutral', 'Information seeking']",5,True
"[Teacher]: ""We will be starting a new chapter today. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Good. Let's start with the basics.""
[Student]: ""Okay.""
[Teacher]: ""The chapter is about photosynthesis.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""We will be starting a new chapter today. Are you ready?""
[Student]: ""Yes, I am.""
[Teacher]: ""Good. Let's start with the basics.""
[Student]: ""Okay.""
[Teacher]: ""The chapter is about photosynthesis.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Information seeking
Information giving
Neutral
Information giving","['Information giving', 'Information seeking', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""I didn't understand the homework.""
[Teacher]: ""Let's go over it together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the instructions.""
[Student]: ""Oh, I see where I went wrong.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""I didn't understand the homework.""
[Teacher]: ""Let's go over it together.""
[Student]: ""That would be helpful.""
[Teacher]: ""First, let's look at the instructions.""
[Student]: ""Oh, I see where I went wrong.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Information seeking
Information giving
Information giving","['Information seeking', 'Information giving', 'Information seeking', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Today we will be discussing the civil war. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""The civil war was a pivotal moment in our history.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Today we will be discussing the civil war. Any questions before we start?""
[Student]: ""No, I'm ready.""
[Teacher]: ""Great, let's begin.""
[Student]: ""Okay.""
[Teacher]: ""The civil war was a pivotal moment in our history.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information giving
Neutral
Information giving","['Information giving', 'Neutral', 'Information giving', 'Neutral', 'Information giving']",5,True
"[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Student]: ""Can we go over the last chapter again? I'm a bit confused.""
[Teacher]: ""Of course, let's review it together.""
[Student]: ""Thank you.""
[Teacher]: ""Let's start from the beginning.""
[Student]: ""That makes it clearer.""
",5,"['[Student]', '[Teacher]', '[Student]', '[Teacher]']","Information seeking
Information giving
Neutral
Information giving
Information giving","['Information seeking', 'Information giving', 'Neutral', 'Information giving', 'Information giving']",5,True
"[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the water cycle. Can you tell me what you remember?""
[Student]: ""The water cycle involves evaporation, condensation, and precipitation.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""","For each of the following sentences, Is the sentence information giving, information seeking or neutral? Respond with 5 lines with only ""Information giving"", ""Information seeking"" or ""Neutral"" on every line -

[Teacher]: ""Let's start the class with a quick recap of yesterday's lesson.""
[Student]: ""Sure.""
[Teacher]: ""We discussed the water cycle. Can you tell me what you remember?""
[Student]: ""The water cycle involves evaporation, condensation, and precipitation.""
[Teacher]: ""Excellent! Let's move on to today's lesson.""
",5,"['[Teacher]', '[Student]', '[Teacher]', '[Student]']","Information giving
Neutral
Information seeking
Information giving
Neutral","['Information giving', 'Neutral', 'Information seeking', 'Information giving', 'Neutral']",5,True
