2.07;2.43; Alright.;1.00
5.48;6.92;Ah, this thing's pinching my head.;1.00
7.04;10.44;Right, so, earlier you mentioned app development.;1.00
10.70;12.52;I'm assuming mobile app development, yes?;1.00
13.34;14.84;Alright, so, what are you working on?;1.00
14.86;17.61;Are you working on something specific, or are you planning to get into it?;1.00
17.63;18.53;Yeah, I'm planning to get into it.;1.00
18.55;19.47;I'm planning to make a mobile application.;1.00
20.53;30.32;I'm planning to make a church or something.;1.00
39.43;56.92; you know it's funny specifically that there is you know how the like frameworks for web development well not just websites like WordPress and stuff like that but you also get subsystems like calendars and stuff there is one so basically a content management system a CMS as they're called right;1.00
57.52;61.68; There is one specifically for church group organization.;1.00
61.70;63.70;I don't know if I can remember what it was.;1.00
64.42;66.17;But if you Google it, I'm sure you'll find it.;1.00
68.37;70.67;But that's for websites.;1.00
72.23;76.61;It's like, you know, what they're called.;1.00
76.65;79.14;So you've got WordPress and Zoopla.;1.00
79.23;79.75;Not Zoopla.;1.00
81.44;82.36;Joomla and all those.;1.00
82.72;83.78;Have you done any web development?;1.00
86.20;86.64;Yeah, so...;1.00
88.78;96.09; Most websites also have a sort of engine behind them, like a framework, and these also can have plugins.;1.00
96.69;102.03;I can't remember if it was a framework itself or if it was a plugin for a framework, but it was for church organization.;1.00
102.05;105.03;It might be useful to have a look at what sort of things they were tracking.;1.00
105.65;107.85;But I have not seen such a thing as a mobile app.;1.00
108.61;110.13;So that could work.;1.00
110.95;112.59;So have you done any mobile development?;1.00
120.05;147.70; okay so I did my master's thesis on a mobile app well for some bizarre reason I decided this was before Android Studio this was with Eclipse and Android version 2 2.1 or something oh it was horrible but not as horrible as developing for iOS okay I am not a Mac user right;1.00
148.57;151.50; Mainly because I develop games on Mac and games don't go well.;1.00
152.10;159.38;But recently I had to develop a game for a... Funnily enough, a church.;1.00
160.02;167.05;It was the Archbishop's Palace up in... Well, the... The... Southall Minster.;1.00
167.29;174.19;They wanted me to develop a game for the Archbishop's Palace, which is sort of on the same organisation type thing.;1.00
174.57;174.73;And...;1.00
175.49;178.69; They wanted it to work on these 10 iPods that they had, right?;1.00
180.49;182.57;So I was like, damn.;1.00
183.53;183.95;Let's see.;1.00
184.03;184.73;What do I need?;1.00
185.47;187.19;I first need a Mac.;1.00
187.25;187.95;Do I have a Mac?;1.00
188.11;188.31;No.;1.00
188.35;191.51;Why can I only develop Mac applications on a Mac?;1.00
191.91;192.31;Screw this.;1.00
192.35;193.08;I'll use Unity.;1.00
193.68;193.90;Sorry?;1.00
195.06;199.12;Yeah, it's... Don't get me started.;1.00
199.14;201.98;Okay, I sorted the developers for you as I used the lab ones.;1.00
202.00;203.32;Otherwise, it'd be impossible, right?;1.00
204.08;204.22;So...;1.00
205.02;206.60; Then I'm like, okay, I'll use Unity.;1.00
207.02;216.32;And Unity says, yes, you can develop your game on Windows, but in order to publish it, because of Apple restrictions, you need to actually press the publish button on a Mac.;1.00
217.87;219.19;So I borrow a Mac.;1.00
221.31;227.57;And, you know, after I managed to set up the licenses, which... Do you have a... Do you use a Mac?;1.00
229.75;232.47;I... I cannot... I cannot understand it.;1.00
232.75;234.61;I... Anyway, the...;1.00
235.43;236.29; Yeah, I like gadgets.;1.00
236.79;247.02;And I firmly believe there should be a sort of gadget police to inform that people respect gadgets and, you know, don't drop them on the floor and treat them nicely because, come on, they're nice things and they cost £700.;1.00
247.72;252.85;But if this Mac had belonged to me, I would have chucked it out the window.;1.00
255.23;259.91;You know, coding in general can make people angry, right?;1.00
259.95;261.43;Especially if they've drunk a lot of coffee.;1.00
262.19;262.38;But;1.00
262.77;267.93; I have never felt as frustrated as I felt developing for iOS.;1.00
268.63;269.87;It just made no sense.;1.00
269.95;271.35;There was no logic.;1.00
272.09;274.61;And every two seconds it would ask me for a password.;1.00
275.23;277.49;Like, I'm admin, why?;1.00
277.71;281.29;Anyway, so step one, forget iOS.;1.00
282.11;284.42;Yes, just pretend it doesn't exist.;1.00
285.31;291.70;In order to develop for iOS, you have to be either established in the Mac infrastructure and for some reason,;1.00
292.95;321.74; already have a developer license to be able to get one so I assume you're an Android user so let's not talk about iOS ever again good so Android development right I won't lie Java's probably not the best idea they ever had yeah I mean but it's got a lot better it used to be so the problem discussing this earlier actually;1.00
