5.90;7.16; Siehst du mich gut?;1.00
7.18;7.26;Ja.;1.00
7.28;12.88;Ich höre dich gut, hörst du mich auch?;1.00
12.94;13.94;Ja.;1.00
13.96;22.78;Du weißt das Thema noch gar nicht, oder?;1.00
22.84;33.37;Nein, weiß ich nicht.;1.00
33.41;34.09;Sehr interessant, ja.;1.00
34.17;34.37;Ah ja, gut.;1.00
36.41;38.83; Also dann, das ist zum Beispiel so, du kannst im Krankenhaus von irgendwelchen Patienten mal so die Blutwerte aufschreiben.;1.00
38.85;40.09;Da gibt es ja, was weiß ich, 20, 30 verschiedene Werte oder noch mehr.;1.00
40.11;41.07;Und die musst du dann in den Datenbank streichen.;1.00
41.09;42.55;Und dann guckst du, was der nach allen möglichen Untersuchungen denn hatte.;1.00
42.57;44.41;Sagen wir mal, der hatte jetzt Leberkrebs, der hatte eine Enzyme hier und der andere hatte das.;1.00
44.43;45.51;Und dann tust du zum Schluss zu deinem Computer drüber,;1.00
65.95;66.03; Okay.;1.00
66.05;66.13;Okay.;1.00
99.62;100.66; Dann musst du erstmal einen Haufen Daten sammeln.;1.00
100.68;101.60;Und dann musst du dort so ein Modell erstellen.;1.00
101.62;103.02;Und so ein Computer, das läuft vielleicht an einem Krankenhaus oder so.;1.00
103.04;104.12;Auf dem Server läuft da so ein Verhersagungssystem.;1.00
104.14;104.86;Und dann kann so ein Arzt dann sein.;1.00
104.88;106.20;Computer sich hinsetzen und die Patientenwerte, die Werte eintippen.;1.00
106.22;106.66;Die Blutwerte oder so.;1.00
106.68;108.96;Und dann kommt der Computer und sagt, ja, 40% der Menschen mit diesen Blutwerten hatten am Ende die und die Erkrankung.;1.00
148.77;155.09; Das heißt, alle Blutwerte von einer Person werden dann in einer Datenbank gespeichert.;1.00
157.23;163.55; Und die werden dann mit den Blutwerten von jemand anders verglichen, beziehungsweise von mehreren anderen Leuten, die in der Datenbank gespeichert werden.;1.00
163.63;168.13;Okay, und so kommt man dann drauf, was... Wahrscheinlichkeitsmodell abgeleitet, was ich meine, hier zu hoch und hier zu niedrig.;1.00
168.15;181.78;Und die meisten, die hier zu hoch und hier zu niedrig hatten, haben zum Schluss ein Herzinsuffizienz oder so was.;1.00
181.80;183.12;Oder irgendeine andere spezifische Krankheit.;1.00
183.14;183.36;Okay, cool.;1.00
183.38;183.48;Genau.;1.00
183.50;186.26;Und dem kann der Patient oder der Arzt dann die weiteren Schritte ableiten.;1.00
186.51;186.59; Okay.;1.00
216.13;217.19; Das ist natürlich kostensparend für die Krankenkasse.;1.00
217.22;218.70;Für die Krankenkasse sparen Sie bestimmt Kosten, die Ärzte sparen Sie Zeit.;1.00
218.72;219.46;Und die Patienten wahrscheinlich auch.;1.00
219.48;220.48;Und insgesamt ist das etwas, was total sinnvoll ist.;1.00
220.50;223.60;Man sollte eigentlich in jedem Krankenhaus sitzen und sollte jeder Arzt zum Schluss ein Tablet haben, gucken, eins kennen die Werte irgendwie oder eins nicht.;1.00
223.64;225.08;Und dann zum Modell zurückkriegen, ja, das und das und das muss man prüfen.;1.00
