,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,child,0 days 00:00:00.000000000,30!,0,0.0,2019-03-17 13:41:20,
1,Speaker 1,0 days 00:00:08.000000000,"[inaudible 00:00:08] Okay, you guys got [inaudible 00:00:10] that you want.",240,8.0,2019-03-17 13:41:28,
2,child,0 days 00:00:11.000000000,Yay.,330,11.0,2019-03-17 13:41:31,
3,parent,0 days 00:00:12.000000000,Okay.,360,12.0,2019-03-17 13:41:32,
4,child,0 days 00:00:22.000000000,And we're gonna read it together.,660,22.0,2019-03-17 13:41:42,
5,parent,0 days 00:00:23.000000000,You want to read it? You want to read it together? Okay.,690,23.0,2019-03-17 13:41:43,You want to read it::: You want to read it together
6,child,0 days 00:00:30.000000000,No.,900,30.0,2019-03-17 13:41:50,
7,parent,0 days 00:00:30.000000000,"Start by selecting a collection of [inaudible 00:00:32]. Go ahead, you can make up a selection.",900,30.0,2019-03-17 13:41:50,
8,child,0 days 00:00:36.000000000,Short stories.,1080,36.0,2019-03-17 13:41:56,
9,child,0 days 00:00:36.000000000,"Oh that's good, I want to read that.",1080,36.0,2019-03-17 13:41:56,
10,Speaker 1,0 days 00:00:44.000000000,We have new stories too. You can swipe you can see most of those.,1317,43.9,2019-03-17 13:42:03,
11,child,0 days 00:00:49.000000000,"Those are the old ones that we already read. I want to read this one, my favorite.",1470,49.0,2019-03-17 13:42:09,
12,parent,0 days 00:00:58.000000000,"Harry was a white dog with black spots [crosstalk 00:01:02] who liked everything except getting a bath. So, one day when he heard the water running in the tub, he took the scrubbing brush.",1740,58.0,2019-03-17 13:42:18,
13,child,0 days 00:01:15.000000000,"Okay, my turn. And buried it in the back yard. Then he ran away from home.",2250,75.0,2019-03-17 13:42:35,
14,parent,0 days 00:01:29.000000000,He played where they were fixing the street and got very dirty.,2670,89.0,2019-03-17 13:42:49,
15,child,0 days 00:01:37.000000000,And played at the railroad and got even dirtier.,2910,97.0,2019-03-17 13:42:57,
16,parent,0 days 00:01:43.000000000,He played tag with other dogs and became dirtier still.,3090,103.0,2019-03-17 13:43:03,
17,child,0 days 00:01:57.000000000,He slide- slid down the cold chute and got the dirtiest of all. In fact changed from white dog with black spots to black dog with white spots.,3510,117.0,2019-03-17 13:43:17,
18,parent,0 days 00:02:25.000000000,Slide.,4350,145.0,2019-03-17 13:43:45,
19,parent,0 days 00:02:26.000000000,Chute.,4380,146.0,2019-03-17 13:43:46,
20,parent,0 days 00:02:28.000000000,"Although there were many other things to do Harry began to wonder if his family thought he had really run away. He felt tired and hungry too. So, without stopping on the way he ran back home.",4440,148.0,2019-03-17 13:43:48,
21,child,0 days 00:02:50.000000000,"When Harry got to his house, he crawled through the fence and sat looking at the door- back door.",5100,170.0,2019-03-17 13:44:10,
22,parent,0 days 00:03:05.000000000,Looking at the.,5550,185.0,2019-03-17 13:44:25,
23,parent,0 days 00:03:12.000000000,"One of the family looked out and said ""there's a strange dog in the back yard. By the way, has anyone seen Harry?""",5760,192.0,2019-03-17 13:44:32,
24,child,0 days 00:03:20.000000000,That is Harry! [crosstalk 00:03:31],6000,200.0,2019-03-17 13:44:40,
25,child,0 days 00:03:33.000000000,"When Harry heard this, he tried very hard to show them he was Harry and he started to do all his old clever tricks. He flip flopped and he flop flipped and rolled over and played dead.",6390,213.0,2019-03-17 13:44:53,
26,parent,0 days 00:04:03.000000000,"He danced and sang. He did these tricks over and over again but everyone shook their heads and said ""Oh, no. It couldn't be Harry.""",7290,243.0,2019-03-17 13:45:23,
27,child,0 days 00:04:11.000000000,It is Harry.,7530,251.0,2019-03-17 13:45:31,
28,child,0 days 00:04:15.000000000,"Harry gave up, he walked slowly towards the gate. But suddenly he stopped and ran to the corner of the garden and started to dig for- furiously [inaudible 00:04:45] he jumped away from the hole barking. Short happy barks.",7650,255.0,2019-03-17 13:45:35,
29,parent,0 days 00:04:53.000000000,"He had found the scrubbing brush and carrying it in his mouth, he ran into the house. Up the stairs he dashed with the family following close behind.",8790,293.0,2019-03-17 13:46:13,
