,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,parent,0 days 00:00:00.000000000,"Wait, wait, Auntie's not ready. Mama is here. It's not working?",0,0.0,2019-03-21 18:39:48, It's not working
1,Speaker 2,0 days 00:00:00.000000000,Mama is here.,0,0.0,2019-03-21 18:39:48,
2,parent,0 days 00:00:00.000000000,Peek a boo.,0,0.0,2019-03-21 18:39:48,
3,parent,0 days 00:00:00.000000000,Thank you. Sit down,0,0.0,2019-03-21 18:39:48,
4,Speaker 3,0 days 00:00:24.000000000,"Can I, just to check? Maggie and [Biyo 00:00:29] can you guys come here? So now it's recording so maybe that's why. We stopped recording, but we just make sure it's still on.",720,24.0,2019-03-21 18:40:11,"Can I, just to check::: Maggie and [Biyo 00:00:29] can you guys come here"
5,Speaker 3,0 days 00:00:39.000000000,"One, two, three.",1170,39.0,2019-03-21 18:40:26,
6,parent,0 days 00:00:43.000000000,"I have to read a story, yeah? [foreign language 00:00:45]",1290,43.0,2019-03-21 18:40:30,"I have to read a story, yeah"
7,Speaker 3,0 days 00:00:44.000000000,And then we can change mode by pressing.,1317,43.9,2019-03-21 18:40:31,
8,Speaker 2,0 days 00:00:50.000000000,"Okay, change it to camera mode, right?",1500,50.0,2019-03-21 18:40:37,"Okay, change it to camera mode, right"
9,Speaker 3,0 days 00:00:54.000000000,"Yeah, but sometimes it's stupid to work with.",1620,54.0,2019-03-21 18:40:41,
10,Speaker 2,0 days 00:00:58.000000000,That's...,1740,58.0,2019-03-21 18:40:45,
11,Speaker 3,0 days 00:00:58.000000000,Okay wait. Camera connection setting.,1740,58.0,2019-03-21 18:40:45,
12,child,0 days 00:01:05.000000000,Biyo.,1950,65.0,2019-03-21 18:40:52,
13,Speaker 2,0 days 00:01:05.000000000,Connection setting.,1950,65.0,2019-03-21 18:40:52,
14,child,0 days 00:01:06.000000000,Mom? What is this?,1980,66.0,2019-03-21 18:40:53,Mom::: What is this
15,Speaker 3,0 days 00:01:07.000000000,But it's still not.,2010,67.0,2019-03-21 18:40:54,
16,parent,0 days 00:01:08.000000000,"Wait, not yet.",2040,68.0,2019-03-21 18:40:55,
17,Speaker 3,0 days 00:01:09.000000000,If this happens then I would just ask them to look at each other and manually change the... manually change the angle,2070,69.0,2019-03-21 18:40:56,
18,parent,0 days 00:01:17.000000000,"Not yet, Auntie's not ready. Everybody's not ready yet.",2310,77.0,2019-03-21 18:41:04,
19,Speaker 3,0 days 00:01:17.000000000,And then I'll press these to start.,2310,77.0,2019-03-21 18:41:04,
20,Speaker 2,0 days 00:01:19.000000000,Okay.,2370,79.0,2019-03-21 18:41:06,
21,Speaker 3,0 days 00:01:20.000000000,"Once it starts recording, you'll see the light flashing.",2400,80.0,2019-03-21 18:41:07,
22,Speaker 2,0 days 00:01:25.000000000,"Okay, so now I press...",2550,85.0,2019-03-21 18:41:12,
23,Speaker 3,0 days 00:01:25.000000000,Can you look at each other?,2550,85.0,2019-03-21 18:41:12,Can you look at each other
24,parent,0 days 00:01:27.000000000,"[inaudible 00:01:27], look at me.",2610,87.0,2019-03-21 18:41:14,
25,Speaker 3,0 days 00:01:30.000000000,I think the angle is pretty much...,2700,90.0,2019-03-21 18:41:17,
26,child,0 days 00:01:31.000000000,The light is not [inaudible 00:01:33],2730,91.0,2019-03-21 18:41:18,
27,Speaker 2,0 days 00:01:32.000000000,"Yeah, the angle is good.",2760,92.0,2019-03-21 18:41:19,
28,Speaker 3,0 days 00:01:33.000000000,"Yeah, the angle is good, we can start. One, two.",2790,93.0,2019-03-21 18:41:20,
29,Speaker 2,0 days 00:01:37.000000000,"Maybe he can just sit here, just more people.",2910,97.0,2019-03-21 18:41:24,
30,Speaker 3,0 days 00:01:41.000000000,"If it starts- Oh, this is just taking pictures.",3030,101.0,2019-03-21 18:41:28,
31,child,0 days 00:01:45.000000000,"Camilla Cream loved lima beans, but she never ate them all.",3150,105.0,2019-03-21 18:41:32,
32,Speaker 5,0 days 00:01:51.000000000,Car?,3330,111.0,2019-03-21 18:41:38,Car
33,Speaker 3,0 days 00:01:59.000000000,"Okay, so now if you see the elapsed time that means...",3570,119.0,2019-03-21 18:41:46,
34,child,0 days 00:02:01.000000000,"Vroom, vroom.",3630,121.0,2019-03-21 18:41:48,
35,parent,0 days 00:02:10.000000000,Maybe he can just come here?,3900,130.0,2019-03-21 18:41:57,Maybe he can just come here
36,parent,0 days 00:02:17.000000000,"Can we just maybe try and he can stay here, super close.",4110,137.0,2019-03-21 18:42:04,
37,Speaker 3,0 days 00:02:20.000000000,But then the camera captures his face. The camera cannot capture his face.,4200,140.0,2019-03-21 18:42:07,
38,Speaker 2,0 days 00:02:25.000000000,"Hey, Biyo? Biyo?",4350,145.0,2019-03-21 18:42:12,"Hey, Biyo::: Biyo"
39,Speaker 3,0 days 00:02:29.000000000,Do you wanna play cars?,4470,149.0,2019-03-21 18:42:16,Do you wanna play cars
40,Speaker 2,0 days 00:02:31.000000000,Do you wanna play something? No.,4530,151.0,2019-03-21 18:42:18,Do you wanna play something
41,parent,0 days 00:02:39.000000000,That's why he's quite hard.,4770,159.0,2019-03-21 18:42:26,
42,Speaker 2,0 days 00:02:42.000000000,Maybe we can just calm him down for five minutes and when he's relaxed we can take him and play.,4860,162.0,2019-03-21 18:42:29,
43,Speaker 3,0 days 00:02:53.000000000,"So we show him the videos. What if you show him, you two and he can watch it, right?",5190,173.0,2019-03-21 18:42:40," What if you show him, you two and he can watch it, right"
