,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,Speaker 2,0 days 00:00:00.000000000,You can start any time that you want.,0,0.0,2019-03-24 11:21:54,
1,parent,0 days 00:00:38.000000000,Okay. We can start now. You can start now.,1140,38.0,2019-03-24 11:22:31,
2,child,0 days 00:00:43.000000000,One [crosstalk 00:00:44].,1290,43.0,2019-03-24 11:22:36,
3,parent,0 days 00:00:43.000000000,Which one do you want?,1290,43.0,2019-03-24 11:22:36,Which one do you want
4,child,0 days 00:00:48.000000000,[inaudible 00:00:48].,1440,48.0,2019-03-24 11:22:41,
5,parent,0 days 00:00:48.000000000,"Go, Dog Go!",1440,48.0,2019-03-24 11:22:41,
6,child,0 days 00:00:56.000000000,"Go, Dog Go! [crosstalk 00:00:56].",1680,56.0,2019-03-24 11:22:49,
7,parent,0 days 00:00:57.000000000,"A little louder, or ...",1710,57.0,2019-03-24 11:22:50,
8,Speaker 2,0 days 00:01:00.000000000,"I think with just a regular voice, right?",1800,60.0,2019-03-24 11:22:53,"I think with just a regular voice, right"
9,parent,0 days 00:01:02.000000000,Okay.,1860,62.0,2019-03-24 11:22:55,
10,Speaker 4,0 days 00:01:02.000000000,Yeah. Just with that ... that you feel comfortable.,1860,62.0,2019-03-24 11:22:55,
11,parent,0 days 00:01:05.000000000,"Okay. [crosstalk 00:01:06]. Go, Dog Go! What is that?",1950,65.0,2019-03-24 11:22:58," Go, Dog Go! What is that"
12,child,0 days 00:01:19.000000000,Big dog.,2370,79.0,2019-03-24 11:23:12,
13,parent,0 days 00:01:20.000000000,"Look, big dog. Little dog.",2400,80.0,2019-03-24 11:23:13,
14,child,0 days 00:01:24.000000000,Little dog. Big dogs and little dogs. Black and white dogs.,2520,84.0,2019-03-24 11:23:17,
15,parent,0 days 00:01:38.000000000,"Look, black and white dogs. So many. How many? You want to count it?",2940,98.0,2019-03-24 11:23:31, How many::: You want to count it
16,child,0 days 00:01:40.000000000,This [crosstalk 00:01:40].,3000,100.0,2019-03-24 11:23:33,
17,parent,0 days 00:01:40.000000000,You can count it.,3000,100.0,2019-03-24 11:23:33,
18,child,0 days 00:01:40.000000000,"One, two, three, four, five, six, seven, eight, nine, 10. I don't know.",3000,100.0,2019-03-24 11:23:33,
19,parent,0 days 00:01:50.000000000,"You can count it like this [crosstalk 00:01:50], one, two, three. Look.",3300,110.0,2019-03-24 11:23:43,
