,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,Speaker 1,0 days 00:00:00.000000000,You want to read?,0,0.0,2019-03-16 11:34:19,You want to read
1,parent,0 days 00:00:00.000000000,Okay.,0,0.0,2019-03-16 11:34:19,
2,Speaker 1,0 days 00:00:01.000000000,"And then it's, for example, you just tap.",30,1.0,2019-03-16 11:34:20,
3,parent,0 days 00:00:10.000000000,"Oh, okay.",300,10.0,2019-03-16 11:34:29,
4,Speaker 1,0 days 00:00:13.000000000,"Yeah, the corner is like...so it goes back and it goes forth and then here you can just pick like bookshelves and then go back and then you go back you can pick like long or short.",390,13.0,2019-03-16 11:34:32,
5,parent,0 days 00:00:20.000000000,Okay.,600,20.0,2019-03-16 11:34:39,
6,Speaker 3,0 days 00:00:20.000000000,And the story you are reading is about like fifteen to ten minutes and then we will let you know when [crosstalk 00:00:25] we finish maybe two to three stories.,600,20.0,2019-03-16 11:34:39,
7,parent,0 days 00:00:32.000000000,"Okay, you want to pick a story? Should we do a short story or a long story?",960,32.0,2019-03-16 11:34:51,"Okay, you want to pick a story::: Should we do a short story or a long story"
8,child,0 days 00:00:35.000000000,Long.,1050,35.0,2019-03-16 11:34:54,
9,parent,0 days 00:00:36.000000000,"Long. Okay, let's see what we got here. Okay which one looks like a good one for you?",1080,36.0,2019-03-16 11:34:55, Okay which one looks like a good one for you
10,child,0 days 00:00:44.000000000,Mine?,1320,44.0,2019-03-16 11:35:03,Mine
11,parent,0 days 00:00:44.000000000,"Oh, or there are more books too, you want to do bad kids with stripes, that's what I'm thinking, okay. And should we just go ahead?",1320,44.0,2019-03-16 11:35:03, And should we just go ahead
12,Speaker 1,0 days 00:00:55.000000000,Yes.,1650,55.0,2019-03-16 11:35:14,
13,parent,0 days 00:00:56.000000000,We're ready? Okay. Ready?,1680,56.0,2019-03-16 11:35:15,We're ready::: Ready
14,child,0 days 00:00:58.000000000,Ready.,1740,58.0,2019-03-16 11:35:17,
15,parent,0 days 00:01:00.000000000,"Okay. Camilla Cream loved Lima beans but she never ate them. All of her friends hated Lima beans and she wanted to fit in. Camilla always worried about what other people thought of her. Today she was fretting even more than usual, it was the first day of school and she couldn't decide what to wear. There were so many people to impress; she tried on forty-two outfits. Do you ever try on forty-two outfits?",1800,60.0,2019-03-16 11:35:19, Do you ever try on forty-two outfits
16,child,0 days 00:01:27.000000000,No.,2610,87.0,2019-03-16 11:35:46,
17,parent,0 days 00:01:28.000000000,"No. But none seem quite right, she put on a pretty red dress and looked in the mirror, then she screamed. Her mother ran into the room and she screamed too!",2640,88.0,2019-03-16 11:35:47,
18,parent,0 days 00:01:41.000000000,"""Oh my heavens,"" she cried, you're completely covered with stripes! This was certainly true, Camilla was striped from head to toe; she looked like a rainbow. Mrs. Cream felt Camilla's forehead, ""Do you feel all right?"" she asked.",3030,101.0,2019-03-16 11:36:00,
19,parent,0 days 00:01:58.000000000,"""I feel fine"", Camilla answered, ""but just look at me.""",3540,118.0,2019-03-16 11:36:17,
20,parent,0 days 00:02:01.000000000,"""You get back in bed this instant,"" her mother ordered ,""You're not going to school today"". Camilla was relieved; (I think you want to not play with those) she didn't want to miss the first day of school, but she was afraid of what other kids would say and she had no idea what to wear with those crazy stripes. That afternoon, Dr. Bumble came in to examine Camilla. ""Most extraordinary!"" he exclaimed, ""I've never seen anything like it. Are you having any coughing, sneezing, runny nose, ache, pains, chills, hot flashes, dizziness, drowsiness, shortness of breath or uncontrollable twitching?""",3630,121.0,2019-03-16 11:36:20,
21,parent,0 days 00:02:44.000000000,"""No,"" Camilla told him, ""I feel fine.""",4920,164.0,2019-03-16 11:37:03,
22,parent,0 days 00:02:47.000000000,"""Well then,"" Dr.Bumble said turning to Mrs. Cream, ""I don't see any reason why she shouldn't go to school tomorrow. Here's some ointment that should help clear up those stripes in a few days. If it doesn't, you know where to reach me"" and off he went.",5010,167.0,2019-03-16 11:37:06,
23,parent,0 days 00:03:03.000000000,"The next day was a disaster; everyone at school laughed at Camilla. They called her Camilla Crayon and Night of the Living Lollipop. She tried her best to act as if everything were normal but when the class said Pledge of Allegiance, her stripes turned red, white and blue and she broke out in stars. That's crazy. The other kids thought this was great. One yelled out, ""Let's see some purple polka dots."" Sure enough Camilla turned all purple polka dotty. Someone else shouted, ""Checkerboard,"" and a pattern of squares covered her skin.",5490,183.0,2019-03-16 11:37:22,
24,parent,0 days 00:03:46.000000000,"Soon everyone was calling out different shapes and colors and poor Camilla was changing faster than you can change channels on a TV. That night, Mr. Harms, the school principal called, ""I'm sorry Mrs. Cream, I'm going to have to ask you to keep Camilla home from school; she's just too much of a distraction, and I've been getting calls from the other parents. They're afraid those stripes may be contagious.""",6780,226.0,2019-03-16 11:38:05,
25,parent,0 days 00:04:14.000000000,"Camilla was so embarrassed. She couldn't believe that just two days ago, everyone liked her. Now nobody wanted to be in the same room with her. Her father tried to make her feel better. ""Is there anything I can get you, Sweetheart?"" he asked.",7620,254.0,2019-03-16 11:38:33,
26,parent,0 days 00:04:27.000000000,"""No thank you,"" sighed Camilla. What she really wanted was a nice plate of Lima beans but she had been laughed at long enough for one day.",8010,267.0,2019-03-16 11:38:46,
27,parent,0 days 00:04:41.000000000,"""Well, yes I see,"" Dr. Bumble mumbled when Mr. Cream phoned the next day. ""I think I'd better bring in the specialists. We'll be right over.""",8430,281.0,2019-03-16 11:39:00,
28,parent,0 days 00:04:50.000000000,"About an hour later, Dr. Bumble arrived with four people in long white coats. He introduced them to the Creams. ""This is Dr. Grump, Dr. Sponge, Dr. Cricket, and Dr. Young."" Then the specialists went to work on Camilla. They squeezed and jabbed and tapped and tested; it was very uncomfortable.",8700,290.0,2019-03-16 11:39:09,
29,parent,0 days 00:05:08.000000000,"""Well, it's not the mumps,"" concluded Dr. Grump.",9240,308.0,2019-03-16 11:39:27,
30,parent,0 days 00:05:11.000000000,"""Or the measles,"" said Dr. Sponge.",9330,311.0,2019-03-16 11:39:30,
