,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,parent,0 days 00:00:00.000000000,"Goodnight, Moon. Okay, Goodnight, Moon. Okay?",0,0.0,2019-03-31 13:04:42, Okay
1,parent,0 days 00:00:04.000000000,"Goodnight, Moon.",120,4.0,2019-03-31 13:04:46,
2,child,0 days 00:00:06.000000000,"Goodnight, Moon.",180,6.0,2019-03-31 13:04:48,
3,parent,0 days 00:00:12.000000000,[foreign language 00:00:12] Loading.,360,12.0,2019-03-31 13:04:54,
4,child,0 days 00:00:14.000000000,In the great.,420,14.0,2019-03-31 13:04:56,
5,parent,0 days 00:00:14.000000000,A little closer.,420,14.0,2019-03-31 13:04:56,
6,child,0 days 00:00:24.000000000,In the.,720,24.0,2019-03-31 13:05:06,
7,parent,0 days 00:00:31.000000000,"Great, green room",930,31.0,2019-03-31 13:05:13,
8,child,0 days 00:00:33.000000000,Green room.,990,33.0,2019-03-31 13:05:15,
9,parent,0 days 00:00:34.000000000,"There was a telephone. Where is telephone? Look. And, a red balloon, and",1020,34.0,2019-03-31 13:05:16, Where is telephone
10,child,0 days 00:00:41.000000000,Red balloon.,1230,41.0,2019-03-31 13:05:23,
11,parent,0 days 00:00:41.000000000,And a picture of. Picture of. Where's that?,1230,41.0,2019-03-31 13:05:23, Where's that
12,child,0 days 00:00:43.000000000,There.,1290,43.0,2019-03-31 13:05:25,
13,parent,0 days 00:00:50.000000000,"Yeah, the cow jumping over the moon. Picture of the cow jumping over the moon, and then? Another is? What is this?",1500,50.0,2019-03-31 13:05:32," Picture of the cow jumping over the moon, and then::: Another is::: What is this"
14,parent,0 days 00:00:58.000000000,"And there were three little bears sitting on chairs. And two little kitten and a pair of mitten. Oh, where is that? Little kitten. Two little kitten. Kittens. Where is two little? I just saw one. Oh, there is two.",1740,58.0,2019-03-31 13:05:40," Oh, where is that::: Where is two little"
15,parent,0 days 00:01:29.000000000,"And pair of mittens. Pair of mittens. And a little toy house and young mouse. And a comb and brush and bowl full of mush. Full of mush. And a quiet old lady who was whispering, ""hush."" Whispering ""hush.""",2670,89.0,2019-03-31 13:06:11,
16,parent,0 days 00:01:56.000000000,"Goodnight, room. Goodnight, moon. Goodnight cow jumping over the moon. Goodnight light and the red balloon. Goodnight bears, goodnight chairs. Goodnight kitten, goodnight mitten. Isn't it funny?",3480,116.0,2019-03-31 13:06:38, Isn't it funny
17,parent,0 days 00:02:23.000000000,"Goodnight clock, and goodnight socks. Goodnight little house, and goodnight mouse. Goodnight comb, and goodnight brush. Where is comb and brush?",4290,143.0,2019-03-31 13:07:05, Where is comb and brush
18,parent,0 days 00:02:39.000000000,"Goodnight nobody. Goodnight mush, and goodnight to the old lady whispering ""hush"". Goodnight stars, goodnight, air. What else, [foreign language 00:02:58]? What do you think? Goodnight noises everywhere, noises everywhere.",4770,159.0,2019-03-31 13:07:21," What else, [foreign language 00:02:58]::: What do you think"
19,parent,0 days 00:03:07.000000000,"Guess what? Where's the ... We are done. Excuse me? We need to read different guy now. Just one story, right?",5610,187.0,2019-03-31 13:07:49,"Guess what::: Excuse me::: Just one story, right"
20,Speaker 3,0 days 00:03:34.000000000,Just as many stories and we'll give you a-,6420,214.0,2019-03-31 13:08:16,
21,parent,0 days 00:03:36.000000000,Okay.,6480,216.0,2019-03-31 13:08:18,
22,parent,0 days 00:03:52.000000000,Let's play in this now.,6960,232.0,2019-03-31 13:08:34,
23,child,0 days 00:03:53.000000000,No.,6990,233.0,2019-03-31 13:08:35,
24,parent,0 days 00:04:02.000000000,Read the dirty duck? Dirty duck?,7260,242.0,2019-03-31 13:08:44,Read the dirty duck::: Dirty duck
