,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,Speaker 1,0 days 00:00:03.000000000,They might fall off now because it's so tall. [inaudible 00:00:12].,90,3.0,2019-03-17 15:47:07,
1,parent,0 days 00:00:06.000000000,[foreign language 00:00:18].,180,6.0,2019-03-17 15:47:10,
2,child,0 days 00:00:06.000000000,I'm doing [inaudible 00:00:31].,180,6.0,2019-03-17 15:47:10,
3,Speaker 4,0 days 00:00:06.000000000,Okay. And we have to use that two Go Pros.,180,6.0,2019-03-17 15:47:10,
4,Speaker 1,0 days 00:00:33.000000000,"No, not yet.",990,33.0,2019-03-17 15:47:37,
5,Speaker 4,0 days 00:00:41.000000000,Okay. He's on his [inaudible 00:00:41] spirit tablet today.,1230,41.0,2019-03-17 15:47:45,
6,Speaker 1,0 days 00:00:47.000000000,"Oh, that good?",1410,47.0,2019-03-17 15:47:51,"Oh, that good"
7,Speaker 4,0 days 00:00:49.000000000,"Yeah, I think that's good because you see the bright light flashing and you can start anytime that you want.",1470,49.0,2019-03-17 15:47:53,
8,parent,0 days 00:00:56.000000000,Okay.,1680,56.0,2019-03-17 15:48:00,
9,child,0 days 00:00:58.000000000,Click on.,1740,58.0,2019-03-17 15:48:02,
10,parent,0 days 00:01:00.000000000,Oops.,1800,60.0,2019-03-17 15:48:04,
11,child,0 days 00:01:16.000000000,[foreign language 00:01:09].,2280,76.0,2019-03-17 15:48:20,
12,parent,0 days 00:01:16.000000000,[foreign language 00:01:09].,2280,76.0,2019-03-17 15:48:20,
13,child,0 days 00:01:16.000000000,[foreign language 00:01:21].,2280,76.0,2019-03-17 15:48:20,
14,parent,0 days 00:01:16.000000000,[foreign language 00:01:21],2280,76.0,2019-03-17 15:48:20,
15,child,0 days 00:01:31.000000000,John needs to be super dangerous or dangerous.,2730,91.0,2019-03-17 15:48:35,
16,parent,0 days 00:01:36.000000000,"Let's not be dangerous. What do you think? Oh, here's [foreign language 00:01:41].",2880,96.0,2019-03-17 15:48:40, What do you think
17,child,0 days 00:01:39.000000000,[foreign language 00:01:43].,2970,99.0,2019-03-17 15:48:43,
18,child,0 days 00:01:39.000000000,Oh oh!,2970,99.0,2019-03-17 15:48:43,
19,parent,0 days 00:01:39.000000000,"Oh, [foreign language 00:01:48].",2970,99.0,2019-03-17 15:48:43,
20,child,0 days 00:01:50.000000000,The long slow story.,3300,110.0,2019-03-17 15:48:54,
21,parent,0 days 00:01:51.000000000,Long story? [foreign language 00:02:08],3330,111.0,2019-03-17 15:48:55,Long story
22,parent,0 days 00:02:07.000000000,We were all sitting around the big kitchen table. It was Saturday morning. Pancake morning! Mom was squeezing oranges for juice and Henry and I were betting on how many pancakes we each could eat and Grandpa was doing the flipping.,3810,127.0,2019-03-17 15:49:11,
23,parent,0 days 00:02:27.000000000,How many pancakes can you eat? Nice.,4410,147.0,2019-03-17 15:49:31,How many pancakes can you eat
24,parent,0 days 00:02:33.000000000,"Seconds later. Something flew through the air, headed toward the kitchen ceiling and landed right on Henry. After we realized that the flying object was only a pancake, we all laughed, even Grandpa. Breakfast continued, quite uneventful. All the other pancakes landed in the pan and all of them were eaten. Even the one that landed on Henry. That night touched off by the pancake incident at breakfast, Grandpa told us the best tall tale bedtime story he had ever told. Across an ocean over lots of huge bumpy mountains across the three hot deserts and one smaller ocean, there laid tiny town of Chewandswallow.",4590,153.0,2019-03-17 15:49:37,
25,child,0 days 00:03:30.000000000,Where is it?,6300,210.0,2019-03-17 15:50:34,Where is it
26,parent,0 days 00:03:31.000000000,I think it's here.,6330,211.0,2019-03-17 15:50:35,
27,child,0 days 00:03:33.000000000,"Oh, I see it.",6390,213.0,2019-03-17 15:50:37,
28,parent,0 days 00:03:35.000000000,"And that looks like far away. In most ways it was very much like any other tiny town. You had a main street lined with stores, houses with trees and gardens around them, the school house, about 300 people and some assorted cats and dogs. But there were no food stores in the town of Chewandswallow. They didn't need any. The sky supplied all the food they could possibly want.",6450,215.0,2019-03-17 15:50:39,
29,child,0 days 00:04:03.000000000,What?,7290,243.0,2019-03-17 15:51:07,What
30,parent,0 days 00:04:06.000000000,It seems like the food falls out of the sky. Shall we read on? That looks a bit weird.,7380,246.0,2019-03-17 15:51:10, Shall we read on
31,child,0 days 00:04:13.000000000,How do you get ice cream?,7590,253.0,2019-03-17 15:51:17,How do you get ice cream
32,parent,0 days 00:04:17.000000000,Do you think that only happens in winter?,7710,257.0,2019-03-17 15:51:21,Do you think that only happens in winter
33,child,0 days 00:04:19.000000000,"You're like, ""Can I have ice cream?"" And it just falls to the ground.",7770,259.0,2019-03-17 15:51:23,
34,parent,0 days 00:04:23.000000000,What if it's warm though that day? Do you think it would still be frozen by the time it gets down?,7890,263.0,2019-03-17 15:51:27,What if it's warm though that day::: Do you think it would still be frozen by the time it gets down
35,child,0 days 00:04:29.000000000,It has to go through the sun.,8070,269.0,2019-03-17 15:51:33,
36,parent,0 days 00:04:33.000000000,Let's see what they get from the sky.,8190,273.0,2019-03-17 15:51:37,
37,parent,0 days 00:04:36.000000000,"The only thing that was really different about Chewandswallow was it's weather. It came three times a day. At breakfast, lunch, and dinner, everything that everyone ate came from the sky.",8280,276.0,2019-03-17 15:51:40,
38,parent,0 days 00:04:51.000000000,"Oh, Leo. Wow! Whatever the weather served, that was what they ate. But it never rained rain. It never snowed snow and it never blew just wind. It rained things like soup and juice. It snowed, mashed potatoes and green peas and sometimes the wind blew in storms of hamburgers.",8730,291.0,2019-03-17 15:51:55,
39,parent,0 days 00:05:15.000000000,Do you think the soup and the juice would come at the same time or would it be a little bit later and you would have to catch two different things?,9450,315.0,2019-03-17 15:52:19,Do you think the soup and the juice would come at the same time or would it be a little bit later and you would have to catch two different things
40,child,0 days 00:05:26.000000000,"No, no, no.",9780,326.0,2019-03-17 15:52:30,
41,parent,0 days 00:05:26.000000000,What do you think?,9780,326.0,2019-03-17 15:52:30,What do you think
42,parent,0 days 00:05:28.000000000,The people could watch the weather report on television in the morning and they would even hear a prediction for the next day's food.,9840,328.0,2019-03-17 15:52:32,
43,parent,0 days 00:05:38.000000000,"Wow. When the towns people went outside, they carried their plates, cups, glasses, forks, spoons, knives and napkins with them. That way they would always be prepared for any kind of weather. If there were leftovers, and they're usually where, the people took them home and put them in their refrigerators in case they got hungry between meals. The menu varied. By the time they woke up in the morning, breakfast was coming down. After a brief shower of orange juice, low clouds of sunny side up eggs moved in, followed by pieces of toast. Butter and jelly sprinkled down for the toast and most of the time it rained milk afterwards.",10140,338.0,2019-03-17 15:52:42,
44,parent,0 days 00:06:24.000000000,Do you think your clothes would get really dirty if you go outside?,11520,384.0,2019-03-17 15:53:28,Do you think your clothes would get really dirty if you go outside
45,child,0 days 00:06:27.000000000,Uh huh!,11610,387.0,2019-03-17 15:53:31,
46,parent,0 days 00:06:30.000000000,For lunch one day frankfurters already in their rolls blew in from the Northwest at about five miles an hour. There were mustard clouds nearby. Then the wind shifted to the East and brought in baked beans. A drizzle of soda finished off the meal.,11700,390.0,2019-03-17 15:53:34,
47,parent,0 days 00:06:46.000000000,"Oh look, the restaurants don't have roofs, so it just comes inside.",12180,406.0,2019-03-17 15:53:50,
48,child,0 days 00:06:56.000000000,Because for the food!,12480,416.0,2019-03-17 15:54:00,
49,parent,0 days 00:06:59.000000000,Dinner one night consisted of lamb chops becoming heavy at times with occasional ketchup. Periods of peas and baked potatoes were followed by gradual clearing with a wonderful jello setting in the West.,12570,419.0,2019-03-17 15:54:03,
50,child,0 days 00:07:16.000000000,What's that?,13080,436.0,2019-03-17 15:54:20,What's that
51,parent,0 days 00:07:16.000000000,I don't know.,13080,436.0,2019-03-17 15:54:20,
52,parent,0 days 00:07:19.000000000,Do you think that's the garbage people cleaning up after the weather comes through?,13170,439.0,2019-03-17 15:54:23,Do you think that's the garbage people cleaning up after the weather comes through
53,parent,0 days 00:07:25.000000000,The sanitation department of Chewandswallow had a rather unusual job for a sanitation department. It had to remove the food that fell on the houses and sidewalks and lawns. The workers cleaned things up after every meal and fed all the dogs and cats. Then they emptied some of it into the surrounding oceans for the fish and turtles and whales to eat.,13350,445.0,2019-03-17 15:54:29,
54,parent,0 days 00:07:50.000000000,Did he eat this?,14100,470.0,2019-03-17 15:54:54,Did he eat this
55,child,0 days 00:07:51.000000000,No.,14130,471.0,2019-03-17 15:54:55,
56,parent,0 days 00:07:52.000000000,The rest of the food was put back into the earth so that the soil would be richer for the people's flower gardens.,14160,472.0,2019-03-17 15:54:56,
57,parent,0 days 00:08:03.000000000,Life for the townspeople was delicious until the weather took a turn for the worst.,14490,483.0,2019-03-17 15:55:07,
58,parent,0 days 00:08:09.000000000,Spaghetti Ties Up Town.,14670,489.0,2019-03-17 15:55:13,
59,parent,0 days 00:08:14.000000000,"One day there was nothing but Gorgonzola cheese all day long. The next day there was only broccoli, all over cooked. And the next day there was Brussels sprouts and peanut butter with mayonnaise.",14820,494.0,2019-03-17 15:55:18,
60,parent,0 days 00:08:29.000000000,Are they happy with that?,15270,509.0,2019-03-17 15:55:33,Are they happy with that
61,child,0 days 00:08:32.000000000,No.,15360,512.0,2019-03-17 15:55:36,
62,parent,0 days 00:08:32.000000000,Another day there was a pea soup fog. No one could see where they were going and they could barely find the rest of the meal that got stuck in the fog.,15360,512.0,2019-03-17 15:55:36,
63,parent,0 days 00:08:42.000000000,Do you know what a fog is?,15660,522.0,2019-03-17 15:55:46,Do you know what a fog is
64,child,0 days 00:08:43.000000000,No.,15690,523.0,2019-03-17 15:55:47,
65,parent,0 days 00:08:44.000000000,It's a low hanging cloud and then you can't see anything else.,15720,524.0,2019-03-17 15:55:48,
