,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,child,0 days 00:00:00.000000000,Mm-hmm (affirmative)-,0,0.0,2019-03-22 17:10:34,
1,parent,0 days 00:00:07.000000000,"Ah. Exactly. But you see, some camera, they have two lights.",210,7.0,2019-03-22 17:10:41,
2,child,0 days 00:00:12.000000000,Yeah.,360,12.0,2019-03-22 17:10:46,
3,parent,0 days 00:00:12.000000000,Some just one.,360,12.0,2019-03-22 17:10:46,
4,Speaker 3,0 days 00:00:14.000000000,Okay. Now you can start any time that you want.,420,14.0,2019-03-22 17:10:48,
5,parent,0 days 00:00:16.000000000,Let's start now.,480,16.0,2019-03-22 17:10:50,
6,Speaker 3,0 days 00:00:16.000000000,You can read any stories that you want.,480,16.0,2019-03-22 17:10:50,
7,parent,0 days 00:00:20.000000000,Do you want to start with short story or long story?,600,20.0,2019-03-22 17:10:54,Do you want to start with short story or long story
8,child,0 days 00:00:22.000000000,Short.,660,22.0,2019-03-22 17:10:56,
9,parent,0 days 00:00:23.000000000,"Great. Let's do it. Yeah, short. And which one do you want? I mean, you can select anything you read or maybe [crosstalk 00:00:33] Maybe something-",690,23.0,2019-03-22 17:10:57, And which one do you want
10,parent,0 days 00:00:35.000000000,This one?,1050,35.0,2019-03-22 17:11:09,This one
11,child,0 days 00:00:38.000000000,[Chinese 00:00:38].,1140,38.0,2019-03-22 17:11:12,
12,parent,0 days 00:00:39.000000000,"Have you read that before? That's go try it. Oh, I didn't get the name of the book. Let me get it. That is Harry, the Dirty Dog. Right? Okay, let's do it. [crosstalk 00:00:55]",1170,39.0,2019-03-22 17:11:13,Have you read that before::: Right
13,parent,0 days 00:00:54.000000000,"Harry was a white dog with black spots who liked everything except getting a bath. Hmm. So one day when he heard the water running in the tub, he took the scrubbing brush. Let's see what he want to do. And he buried it in the back yard. Mm-hmm (affirmative). Then he ran away from home. He played where they were fixing the street and got really dirty. He played at the railroad and got even dirtier.",1620,54.0,2019-03-22 17:11:28,
14,parent,0 days 00:01:30.000000000,"Do you want to push that? Just press... He played tag with other dogs and became dirtier still. Just click. Yeah, that's it. He slid down a coal chute and got dirtiest of all. In fact, he changed from ... What? Where is it? Where is it? Here. From white dog with black spots to a black dog with white spots. Although there were many other things to do, Harry began to wonder if his family saw that he had really run away. He felt tired and hungry too, so without stopping on the way, he ran back home. Let's see what has happened.",2700,90.0,2019-03-22 17:12:04,Do you want to push that::: What::: Where is it::: Where is it
15,parent,0 days 00:02:17.000000000,"And when Harry got to his house, he crawled through the fence and sat looking at the back door. Let's see what happened. One of the family looked out and said, ""There is a strange dog in the back yard. By the way has anyone seen Harry?"" People thought, yeah, ""It's not Harry."" Do you like it so far?",4110,137.0,2019-03-22 17:12:51," One of the family looked out and said,  People thought, yeah,  Do you like it so far"
16,parent,0 days 00:02:41.000000000,"Yes? When Harry heard this he tried very hard to show them he was Harry. He started to do all his old, clever tricks. He flip-flopped and then he flop-flipped and he rolled over and played dead. [Chinese 00:02:54] That's it. He danced and he sang. He did these tricks over and over again, but everyone shook their heads and said, ""Oh no, it couldn't be Harry."" Yeah, it's very sad.",4830,161.0,2019-03-22 17:13:15,Yes
17,parent,0 days 00:03:10.000000000,"Harry gave up and walked slowly toward the gate, but suddenly he stopped. He ran to a corner of the garden and started to dig furiously. Soon he jumped away from the hole barking short and happy barks. Let's see what he found. He had found a scrubbing brush, and carrying it in his mouth, he ran into the house. Up the stairs he dashed with the family following close behind. And, let's guess!",5700,190.0,2019-03-22 17:13:44,
18,parent,0 days 00:03:43.000000000,"He jumped into the bath tub and sat up begging with the scrubbing brush in his mouth, a trick he certainly had never done before. ""This little doggy wants a bath,"" cried the little girl. Her father said, ""Why don't you and your brothers give him one?"" Harry's bath was the soapiest one he had ever had. It worked like magic. As soon as the children start to scrub, they began shouting, ""Mommy, Daddy, look, Look. Come in quick!"" He's come back. ""It's Harry. It's Harry. It's Harry,"" They cried. Harry wagged his tail and was very, very happy. His family combed and brushed him lovingly, and he became once again a white dog with black spots. It was wonderful to be home. After dinner Harry fell asleep in his favorite place happily dreaming of how much fun it had been getting dirty.",6690,223.0,2019-03-22 17:14:17,
19,parent,0 days 00:04:40.000000000,Do you like it?,8400,280.0,2019-03-22 17:15:14,Do you like it
20,parent,0 days 00:04:42.000000000,"He slept so soundly he didn't even feel the scrubbing brush he'd hidden under his pillow. Yeah. It's here, right? Mm-hmm (affirmative).",8460,282.0,2019-03-22 17:15:16," It's here, right"
21,parent,0 days 00:04:53.000000000,"I don't know. Let's read. Let's read it on, yes maybe you go to the bookshelf and you want to read that again. Or do you want to read by your own again, or do you want to go to another story?",8790,293.0,2019-03-22 17:15:27," Or do you want to read by your own again, or do you want to go to another story"
22,parent,0 days 00:05:06.000000000,This one? This one?,9180,306.0,2019-03-22 17:15:40,This one::: This one
23,child,0 days 00:05:06.000000000,Mm-hmm (affirmative)-,9180,306.0,2019-03-22 17:15:40,
24,parent,0 days 00:05:09.000000000,Have you read that before?,9270,309.0,2019-03-22 17:15:43,Have you read that before
