,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,child,0 days 00:00:00.000000000,Can we do this one? [crosstalk 00:00:07],0,0.0,2019-03-24 13:10:29,Can we do this one
1,parent,0 days 00:00:07.000000000,Hands on my head. [crosstalk 00:00:10],210,7.0,2019-03-24 13:10:35,
2,parent,0 days 00:00:09.000000000,Hands on the knees.,270,9.0,2019-03-24 13:10:37,
3,parent,0 days 00:00:11.000000000,Hands on someone else's knees.,330,11.0,2019-03-24 13:10:39,
4,parent,0 days 00:00:14.000000000,Hands on someone else's head.,420,14.0,2019-03-24 13:10:42,
5,parent,0 days 00:00:18.000000000,"Don't take off the camera 'cause it's supposed to look at you. Oh, don't play with it.",540,18.0,2019-03-24 13:10:46,
6,child,0 days 00:00:24.000000000,"Are they curious? Wait, are they looking at that one, that one, that one, that one, that one, or that one?",720,24.0,2019-03-24 13:10:52,"Are they curious::: Wait, are they looking at that one, that one, that one, that one, that one, or that one"
7,parent,0 days 00:00:29.000000000,I don't know. [crosstalk 00:00:29] Maybe all of them.,870,29.0,2019-03-24 13:10:57,
8,child,0 days 00:00:32.000000000,When can we choose it?,960,32.0,2019-03-24 13:11:00,When can we choose it
9,parent,0 days 00:00:40.000000000,When they say ready.,1200,40.0,2019-03-24 13:11:08,
10,Speaker 3,0 days 00:00:41.000000000,You can start anytime you want to now.,1230,41.0,2019-03-24 13:11:09,
11,parent,0 days 00:00:43.000000000,"Oh, we can start, okay, let's go.",1290,43.0,2019-03-24 13:11:11,
12,parent,0 days 00:00:47.000000000,Loading.,1410,47.0,2019-03-24 13:11:15,
13,parent,0 days 00:00:49.000000000,"Once upon a time, there was a little house way out in the country. She was a pretty little house, and she was strong and well built. The man who built her so well said, “This little house shall never be sold, for gold or silver, and she will live to see our great-great-grandchildren's, great-great-grandchildren living in her.”",1470,49.0,2019-03-24 13:11:17,
14,parent,0 days 00:01:15.000000000,"The little house was very happy as she sat on the hill, and watched the countryside around her. She watched the sunrise in the morning, and she watched the sunset in the evening.",2250,75.0,2019-03-24 13:11:43,
15,child,0 days 00:01:25.000000000,"Everyone [inaudible 00:01:27] 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12! 12!",2550,85.0,2019-03-24 13:11:53,
16,parent,0 days 00:01:33.000000000,Like one for each hour. Day followed day...,2790,93.0,2019-03-24 13:12:01,
17,child,0 days 00:01:40.000000000,"Okay, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26!",3000,100.0,2019-03-24 13:12:08,
18,parent,0 days 00:01:50.000000000,"Oh, that's more than a day.",3300,110.0,2019-03-24 13:12:18,
19,child,0 days 00:01:51.000000000,26.,3330,111.0,2019-03-24 13:12:19,
20,parent,0 days 00:01:51.000000000,"Yeah. Day followed day, each one a little different from the one before, but the little house stayed just the same. In the night, she watched the moon grow from a thin new moon to a full moon, then back again to a thin old moon.",3330,111.0,2019-03-24 13:12:19,
21,child,0 days 00:02:10.000000000,"Let me count. 1, 2, 3, 4, 5, 6, 7, 8. Wait, let's count from 26. 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56. 56 [inaudible 00:02:46]",3900,130.0,2019-03-24 13:12:38,
22,parent,0 days 00:02:46.000000000,"56. And when there was no moon, she watched the stars. Way off in the distance, she could see the lights of the city. The little house was curious about the city, and wondered what it would be like to live there. Time passed quickly for the little house as she watched the countryside slowly change with the seasons. In the spring, when the days grew longer, and the sun warmer, she waited for the first robin to return from the south. She watched the grass turn green, she watched the buds on the trees swell, and the apple tree burst into blossom. She watched the children playing in the brook.",4980,166.0,2019-03-24 13:13:14,
23,parent,0 days 00:03:27.000000000,"In the long summer days, she sat in the sun, and watched the trees cover themselves with leaves, and the white daisy's cover the hill. She watched the gardens grow, and she watched the apples turn red and ripen, and she watched children swimming in the pool. In the fall, when the days grew shorter, the nights colder, she watched the first frost turn the leaves to bright yellow, and orange, and red. She watched the harvest gathered and the apples picked. She watched the children going back to school. In the winter, when the nights were long, and the days were short, and the countryside covered with snow, she watched the children coasting, and skating.",6210,207.0,2019-03-24 13:13:55,
24,parent,0 days 00:04:10.000000000,"Year followed year, the apple trees grew old, and new ones were planted. The children grew up and went away to the city, and now at night, the lights of the city seem brighter and closer. One day, the little house was so surprised to see a horseless carriage coming down the winding country road. Do you know what a horseless carriage is?",7500,250.0,2019-03-24 13:14:38, Do you know what a horseless carriage is
25,child,0 days 00:04:32.000000000,No.,8160,272.0,2019-03-24 13:15:00,
26,parent,0 days 00:04:34.000000000,"What do you think we drive in? Car? There are no horses. Anyway, pretty soon, there were more of them on the road and fewer carriages pulled by horses. Pretty soon, along came some surveyors and surveyed a line in front of the little house. Pretty soon, along came a steam shovel, and dug a road through the hill covered with daisy's. Then some trucks came and dumped big stones on the road. Then some trucks with little stones. Then some trucks with tar, and sand. And finally a steam roller came, and rolled it all smooth, and the road was done.",8220,274.0,2019-03-24 13:15:02,What do you think we drive in::: Car
27,parent,0 days 00:05:17.000000000,"Now the little house watched the trucks and automobiles going back and forth to the city. Gasoline stations, road side stands, and small houses followed the new road. Everyone and everything moved faster now than before. More roads were made and the countryside was divided into lots. More houses and bigger houses. Apartment houses and tenement houses. Schools, stores, and garages spread over the land, and crowded around the little house. No one wanted to live in her, and take care of her anymore. She couldn't be sold for silver gold, so she just stayed there and watched.",9510,317.0,2019-03-24 13:15:45,
28,parent,0 days 00:05:58.000000000,"Now it was not so quiet and peaceful at night. Now the lights of the city were bright, and very close, and the street light shown all night. “This must be living in the city,” thought the little house, and didn't know whether she liked it or not. She missed the fields of daisy's, and the apple trees dancing in the moon light. Pretty soon, there were trolley cars going back and forth in front of the little house. They went back and forth all day, and part of the night. Everyone seemed to be very busy, and everyone seemed to be in a hurry.",10740,358.0,2019-03-24 13:16:26,
29,parent,0 days 00:06:31.000000000,"Pretty soon, there was an elevated train going back and forth above the little house. The air was filled with dust and smoke, and the noise was so loud that it shook the little house. Now she couldn't tell when spring came, or summer, or fall, or winter. It all seemed about the same. Pretty soon, there was a subway going back and forth under the little house. She couldn't see it but she could feel and hear it. People were moving faster and faster.",11730,391.0,2019-03-24 13:16:59,
30,child,0 days 00:07:00.000000000,There's 3 subways.,12600,420.0,2019-03-24 13:17:28,
31,parent,0 days 00:07:01.000000000,3 subways? Where?,12630,421.0,2019-03-24 13:17:29,3 subways::: Where
32,child,0 days 00:07:04.000000000,"I mean, 3 trains.",12720,424.0,2019-03-24 13:17:32,
33,parent,0 days 00:07:06.000000000,Yeah.,12780,426.0,2019-03-24 13:17:34,
34,child,0 days 00:07:07.000000000,"1, 2, 3!",12810,427.0,2019-03-24 13:17:35,
35,parent,0 days 00:07:09.000000000,"Oh my goodness, that's a lot of trains.",12870,429.0,2019-03-24 13:17:37,
36,child,0 days 00:07:11.000000000,That's a elevators.,12930,431.0,2019-03-24 13:17:39,
37,parent,0 days 00:07:12.000000000,Yes.,12960,432.0,2019-03-24 13:17:40,
38,child,0 days 00:07:14.000000000,"One, I like that.",13020,434.0,2019-03-24 13:17:42,
39,parent,0 days 00:07:18.000000000,Yeah.,13140,438.0,2019-03-24 13:17:46,
40,child,0 days 00:07:18.000000000,I think...,13140,438.0,2019-03-24 13:17:46,
41,parent,0 days 00:07:18.000000000,It seems very efficient.,13140,438.0,2019-03-24 13:17:46,
42,child,0 days 00:07:24.000000000,"I really like that. I think she should stay, because that's like cool.",13320,444.0,2019-03-24 13:17:52,
43,parent,0 days 00:07:31.000000000,"I think it's cool too, but some people don't like city, so, and trains.",13530,451.0,2019-03-24 13:17:59,
44,parent,0 days 00:07:37.000000000,"People were moving faster and faster. No one noticed that little house anymore, they hurried by without a glance. Pretty soon, they tore down the apartment houses and tenement houses around the little house, and started digging big cellars, one on each side. The steam shovels, dug down 3 stories on one side, and 4 stories on the other side. Pretty soon, they started building up. They built up 25 stories on one side, and 35 stories on the other. Now the little house only saw the sun at noon, and didn't see the moon or starts at night at all, because the lights of the city were too bright. She didn't like living in the city. At night, she used to dream of the country, and the fields of daisy's, and the apple trees dancing in the moon light.",13710,457.0,2019-03-24 13:18:05,
45,parent,0 days 00:08:25.000000000,"The little house was very sad and lonely. Her paint was cracked and dirty. Her windows were broken, and her shutters were hung crookedly. She looked shabby, though she was just as good a house as ever underneath. Then one fine morning in spring, along came the great...",15150,505.0,2019-03-24 13:18:53,
46,child,0 days 00:08:45.000000000,Where's the one under.,15750,525.0,2019-03-24 13:19:13,
47,parent,0 days 00:08:46.000000000,"There she is... [crosstalk 00:08:48] Oh, the other trains? I don't know, maybe, oh it's cause it's underground, you can't see it unless they show you. And they're just showing you what's above ground.",15780,526.0,2019-03-24 13:19:14," [crosstalk 00:08:48] Oh, the other trains"
48,child,0 days 00:08:59.000000000,Oh.,16170,539.0,2019-03-24 13:19:27,
49,parent,0 days 00:08:59.000000000,"Along came the great-great-granddaughter of the man who built the little house so well. She saw the shabby little house, but she didn't hurry by. There was something about the little house that made her stop and look again. She said to her husband, “That little house looks just like the little house my grandmother lived in when she was a little girl. Only, that little house, was way out in the country on a hill covered with daisy's, and apple trees growing around.” They found out it was the same, very same house, so they went to the movers to see if the little house could be moved. The movers looked at the little house all over, and said, “Sure! This house is as good as ever! She's built so well, we could mover her anyway... anywhere.” So they jacked up the little house that she...",16170,539.0,2019-03-24 13:19:27,
50,child,0 days 00:09:48.000000000,"This picture looks, looks all the same.",17640,588.0,2019-03-24 13:20:16,
51,parent,0 days 00:09:51.000000000,"Yeah, well, sometimes it's the same one twice in a row.",17730,591.0,2019-03-24 13:20:19,
