,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,Speaker 1,0 days 00:00:00.000000000,[inaudible 00:00:00] And then we can start.,0,0.0,2019-03-09 14:18:05,
1,Speaker 1,0 days 00:00:08.000000000,"Okay, great. So now it's time to start. Which story do you want to pick?",240,8.0,2019-03-09 14:18:13, Which story do you want to pick
2,Speaker 1,0 days 00:00:13.000000000,And also click the corners to go to the next page or to previous page.,390,13.0,2019-03-09 14:18:18,
3,Speaker 1,0 days 00:00:18.000000000,And it's encouraged that you ask questions to your child or your child ask questions to you or to even have a dialogue around the context of the story.,540,18.0,2019-03-09 14:18:23,
4,parent,0 days 00:00:27.000000000,Okay.,810,27.0,2019-03-09 14:18:32,
5,child,0 days 00:00:30.000000000,"How do you go to more pages? I mean, more books?",900,30.0,2019-03-09 14:18:35,"How do you go to more pages::: I mean, more books"
6,parent,0 days 00:00:40.000000000,"These are the books, right? There's no more?",1200,40.0,2019-03-09 14:18:45,"These are the books, right::: There's no more"
7,Speaker 1,0 days 00:00:41.000000000,Yeah.,1230,41.0,2019-03-09 14:18:46,
8,parent,0 days 00:00:42.000000000,So you got to pick one of these.,1260,42.0,2019-03-09 14:18:47,
9,child,0 days 00:00:42.000000000,Okay.,1260,42.0,2019-03-09 14:18:47,
10,child,0 days 00:00:42.000000000,First page.,1260,42.0,2019-03-09 14:18:47,
11,parent,0 days 00:01:08.000000000,"Oh, okay.",2040,68.0,2019-03-09 14:19:13,
12,parent,0 days 00:01:10.000000000,"One winter morning, Peter woke up and looked out the window. Snow had fallen during the night. It covered everything as far as he could see. After breakfast, he put on his snowsuit and ran outside. Snow was piled up very high along the street to make a path for walking.",2100,70.0,2019-03-09 14:19:15,
13,parent,0 days 00:01:34.000000000,Go ahead.,2820,94.0,2019-03-09 14:19:39,
14,parent,0 days 00:01:37.000000000,"Crunch, crunch, crunch. His feet sank into the snow. He walked with his toes pointing out like this. He walked with his toe pointing in, like that. Then he dragged his feet slowly to make tracks. And he found something sticking out of the snow that made a new track. It was a stick. A stick that was just right for smacking a snow covered tree. And down fell the snow. Plop on top of Peter's head.",2910,97.0,2019-03-09 14:19:42,
15,parent,0 days 00:02:30.000000000,"He thought it would be fun to join the big boys in their snowball fight, but he knew he wasn't old enough. Not yet. So he made a smiling snowman and he made angels. He pretended he was a mountain climber. He climbed up a great big tall heaping mountain of snow and slid all the way down. He picked up a handful of snow and another and still another. He packed it round and firm and put the snowball in his pocket for tomorrow. Then he went in his warm house.",4500,150.0,2019-03-09 14:20:35,
16,parent,0 days 00:03:12.000000000,"He told his mother all about his adventures while she took off his wet socks. And he though and thought and thought about them. Before he got into bed, he looked in his pocket. His pocket was empty. The snowball wasn't there. He felt very sad.",5760,192.0,2019-03-09 14:21:17,
17,child,0 days 00:03:34.000000000,Sad.,6420,214.0,2019-03-09 14:21:39,
18,parent,0 days 00:03:36.000000000,Sad.,6480,216.0,2019-03-09 14:21:41,
19,child,0 days 00:03:36.000000000,Sad.,6480,216.0,2019-03-09 14:21:41,
20,parent,0 days 00:03:37.000000000,"While he slept, he dreamed that the sun had melted all the snow away. Then when he woke up, his dream was gone. Snow was still everywhere. New snow was falling. After breakfast, he called to his friend from across the hall and they went out together into this deep, deep snow.",6510,217.0,2019-03-09 14:21:42,
21,parent,0 days 00:04:09.000000000,And that's it.,7470,249.0,2019-03-09 14:22:14,
22,child,0 days 00:04:14.000000000,"Bookshelf, I guess. Bookshelf. Okay. Go to a second story, I guess.",7620,254.0,2019-03-09 14:22:19,
23,parent,0 days 00:04:26.000000000,Do I have to read them all?,7980,266.0,2019-03-09 14:22:31,Do I have to read them all
24,Speaker 1,0 days 00:04:27.000000000,Read for about 20 minutes.,8010,267.0,2019-03-09 14:22:32,
25,parent,0 days 00:04:30.000000000,Okay.,8100,270.0,2019-03-09 14:22:35,
26,child,0 days 00:04:30.000000000,Okay.,8100,270.0,2019-03-09 14:22:35,
27,parent,0 days 00:04:33.000000000,The Little Engine that Could.,8190,273.0,2019-03-09 14:22:38,
28,parent,0 days 00:04:38.000000000,Chug. Chug. Chug. Puff. Puff. Puff. Ding dong. Ding dong. The little train rumbled over the tracks. She was a happy little train for she had such a jolly load to carry. Her cars were filled full of good things for boys and girls.,8340,278.0,2019-03-09 14:22:43,
29,parent,0 days 00:05:02.000000000,"There were toy animals. Giraffes, with long necks. Teddy bears, with almost no necks at all. [crosstalk 00:05:11] and even a baby elephant. Then there were dolls. Dolls with blue eyes and yellow curls. Dolls with brown eyes and brown bobbed heads and the funniest little toy clown you've ever saw.",9060,302.0,2019-03-09 14:23:07,
30,parent,0 days 00:05:32.000000000,"And there were cars full of toy engines. Airplanes, tops, jack knives, picture puzzles, books and every kind of thing boy or girls could want. But that was not all. Some of the cars were filled all sorts of good things for boys and girls to eat. Big golden oranges, red sheet apples, bottles of creamy milk for their breakfast, fresh spinach for their dinners, peppermint drops and lollipops for after [inaudible 00:06:17].",9960,332.0,2019-03-09 14:23:37,
31,parent,0 days 00:06:20.000000000,The little train was carrying all these wonderful things to the little boys and girls on the other side of the mountain. She puffed along merrily.,11400,380.0,2019-03-09 14:24:25,
32,parent,0 days 00:06:31.000000000,What's wrong? You okay?,11730,391.0,2019-03-09 14:24:36,What's wrong::: You okay
33,parent,0 days 00:06:33.000000000,Is it pinching you?,11790,393.0,2019-03-09 14:24:38,Is it pinching you
34,child,0 days 00:06:33.000000000,"No, it was...",11790,393.0,2019-03-09 14:24:38,
35,parent,0 days 00:06:37.000000000,Don't reach in there like that.,11907,396.9,2019-03-09 14:24:42,
36,child,0 days 00:06:38.000000000,Okay.,11940,398.0,2019-03-09 14:24:43,
37,parent,0 days 00:06:39.000000000,Then all of a sudden she stopped with a jerk. She simply could not go another inch. She tried and she tried but her wheels would not turn. What were all those good little boys and girls on the other side of the mountain going to do without the wonderful toys to play with and the good food to eat?,11970,399.0,2019-03-09 14:24:44, What were all those good little boys and girls on the other side of the mountain going to do without the wonderful toys to play with and the good food to eat
38,parent,0 days 00:07:08.000000000,"""Here comes a shiny new engine,"" said the funny little clown who jumped out of the train. ""Let's ask him to help us.""",12840,428.0,2019-03-09 14:25:13,
39,parent,0 days 00:07:17.000000000,"So all the dolls and toys cried out together. ""Please shiny new engine. Won't you please pull our train over the mountain. Our engine has broken down and the good boys and the girls on the other side won't have any toys to play with or good food to eat unless you help us.""",13110,437.0,2019-03-09 14:25:22,
40,parent,0 days 00:07:41.000000000,"But the shiny new engine snorted. ""I pull you? I'm no passenger engine. I have just carried a fine, big train over the mountain with more cars than you've ever dreamed of. My train had sleeping cars, comfortable [inaudible 00:07:58] and dining carts where waiters bring whatever hungry people want to eat. The parlor cars in which people sit in, soft arm chairs and look out of big plate glass windows. I pull the likes of you, indeed not!""",13830,461.0,2019-03-09 14:25:46,
41,child,0 days 00:08:20.000000000,That's so mean.,15000,500.0,2019-03-09 14:26:25,
42,parent,0 days 00:08:22.000000000,"That is so mean, right?",15060,502.0,2019-03-09 14:26:27,"That is so mean, right"
