,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,parent,0 days 00:00:00.000000000,"""extraordinary!"" he exclaimed. ""I've never seen anything like it! Are you having any coughing, sneezing, runny nose, aches, pains, chills, hot flashes, dizziness, drowsiness, shortness of breath, or uncontrollable twitching?""",0,0.0,2019-03-31 16:34:08,
1,parent,0 days 00:00:17.000000000,"""No,"" Camilla told him. ""I feel fine."" ""Well then,"" Dr. Bumble said, turning to Mrs. Cream, ""I don't see any reason why she shouldn't go to school tomorrow. Here's some ointment that should help clear up those stripes in a few days. If it doesn't, you know where to reach me."" And off he went.",510,17.0,2019-03-31 16:34:25,
2,parent,0 days 00:00:37.000000000,"The next day was a disaster. Everyone at school laughed at Camilla. They called her ""Camilla Crayon"" and ""Night of the Living Lollipop."" She tried her best to act as if everything were normal, but when the class said the pledge of allegiance, her stripes turned red, white, and blue and she broke out in stars.",1113,37.1,2019-03-31 16:34:45,
3,parent,0 days 00:01:00.000000000,"The other kids thought this was great. One yelled out, ""Let's see some purple polka dots!"" Sure enough, Camilla had turned all purple polka-dotty. Someone else shouted, ""Checkerboard!"" and a pattern of squares covered her skin. Soon everyone was calling out different shapes and colors and poor Camilla was changing faster than you can change channels on a television.",1800,60.0,2019-03-31 16:35:08,
4,parent,0 days 00:01:27.000000000,"That night, Mr. Harms, the school principal, called. ""I'm sorry Mrs. Cream. ""I'm going to have to ... you got an itchy trigger finger. I'm going to have to ask you to keep Camilla home from school. She's just too much of a distraction, and I've been getting calls from the other parents. They're afraid those stripes might be contagious.""",2610,87.0,2019-03-31 16:35:35,
5,child,0 days 00:01:48.000000000,What's contagious?,3240,108.0,2019-03-31 16:35:56,What's contagious
6,parent,0 days 00:01:48.000000000,"Means you could catch it, kind of like the pinworms or the flu or something.",3240,108.0,2019-03-31 16:35:56,
7,parent,0 days 00:01:55.000000000,"Camilla was so embarrassed! She couldn't believe that two days ago, everyone liked her. Now nobody wanted to be in the same room with her. Her father tried to make her feel better. ""Is there anything I can get you, sweetheart?"" ""No, thank you,"" sighed Camilla. What she really wanted was a nice plate of lima beans, but she had been laughed at enough for one day.",3450,115.0,2019-03-31 16:36:03,
8,child,0 days 00:02:17.000000000,What are lima beans?,4110,137.0,2019-03-31 16:36:25,What are lima beans
9,parent,0 days 00:02:17.000000000,Do you feel bad for her?,4110,137.0,2019-03-31 16:36:25,Do you feel bad for her
10,child,0 days 00:02:22.000000000,Yeah.,4257,141.9,2019-03-31 16:36:29,
11,parent,0 days 00:02:24.000000000,"Lima beans? Well, I can make them for you some time.",4320,144.0,2019-03-31 16:36:32,Lima beans
12,parent,0 days 00:02:26.000000000,"""Hmmm, well, yes I see,"" Dr. Bumble mumbled, when Mrs. Cream called the next day. ""I think I better bring in the Specialists. We'll be right over."" About an hour later, Dr. Bumble arrived, with four people in long white coats. He introduced them to the Creams, ""This is Dr. Grop, Dr. Sponge, Dr. Cricket, and Dr. Young."" Then the Specialists went to work on Camilla. They squeezed and jabbed, tapped and tested. It was very uncomfortable. ""Well, it's not the mumps"" concluded Dr. Grop. ""Or the measles"" said Dr. Sponge.",4380,146.0,2019-03-31 16:36:34,
13,parent,0 days 00:03:01.000000000,Now you can turn it.,5430,181.0,2019-03-31 16:37:09,
14,parent,0 days 00:03:04.000000000,"""Definitely not chicken pox"" said Dr. Cricket. ""Or sunburn"" said Dr. Young. ""Try these"" said the Specialists. They each handed her a bottle filled with different colored pills. ""Take one of each before bed,"" said Dr. Grop. Then they filed out the front door followed by Dr. Bumble.",5520,184.0,2019-03-31 16:37:12,
15,parent,0 days 00:03:22.000000000,"That night Camilla took her medicine. It was awful. When she woke up the next morning, she did feel different. But when she got dressed, her clothes didn't fit right. She looked in the mirror and there staring back at her was a giant, multicolored pill with her face on it.",6060,202.0,2019-03-31 16:37:30,
16,parent,0 days 00:03:39.000000000,"Oh, that's totally embarrassing.",6570,219.0,2019-03-31 16:37:47,
17,parent,0 days 00:03:42.000000000,"Dr. Bumble rushed over as soon as Mrs. Cream called, but this time, instead of the Specialists, he brought the Experts. Dr. Gourd and Dr. Mellon were the finest scientific minds in the land. Once again, Camilla was poked and prodded, looked over and listened to. The Experts wrote down lots of numbers. They huddled together and whispered.",6660,222.0,2019-03-31 16:37:50,
18,parent,0 days 00:04:09.000000000,"Dr. Gourd finally spoke. ""It might be a virus,"" he announced with authority. Suddenly fuzzy little virus balls appeared all over Camilla.",7470,249.0,2019-03-31 16:38:17,
19,parent,0 days 00:04:18.000000000,It beeped. Is it not working?,7740,258.0,2019-03-31 16:38:26, Is it not working
20,Speaker 3,0 days 00:04:22.000000000,"Um, don't worry about it [inaudible 00:04:25]",7860,262.0,2019-03-31 16:38:30,
21,parent,0 days 00:04:24.000000000,"""Or possibly some form of bacteria,"" said Dr. Mellon. Out popped squiggly little bacteria tails. ""Or it could be a fungus,"" added Dr. Gourd.",7920,264.0,2019-03-31 16:38:32,
22,Speaker 3,0 days 00:04:32.000000000,"Sorry, can I just do something really quick?",8160,272.0,2019-03-31 16:38:40,"Sorry, can I just do something really quick"
23,parent,0 days 00:04:48.000000000,Sure.,8640,288.0,2019-03-31 16:38:56,
24,Speaker 3,0 days 00:04:48.000000000,Okay.,8640,288.0,2019-03-31 16:38:56,
25,parent,0 days 00:04:48.000000000,"So every time they say there's something that might be wrong, it becomes wrong.",8640,288.0,2019-03-31 16:38:56,
26,parent,0 days 00:04:52.000000000,"So now she's covered with different colored fungus blotches. The Experts looked at Camilla, and then at each other. ""We need to go over these numbers again back at the lab,"" Dr. Gourd explained. ""We'll call you when we know something."" But the Experts didn't have a clue, much less a cure.",8760,292.0,2019-03-31 16:39:00,
27,parent,0 days 00:05:11.000000000,"By now, the TV news had found out about Camilla. Reporters from every channel were outside her house, telling the story of ""The Bizarre Case of the Incredible Changing Kid."" And soon a huge crowd was camped out on the front lawn.",9330,311.0,2019-03-31 16:39:19,
28,parent,0 days 00:05:28.000000000,"The Creams were swamped with all kinds of remedies, from psychologists, allergists, herbalists, nutritionalists, psychics, an old medicine man, a guru, and even a veterinarian.",9840,328.0,2019-03-31 16:39:36,
29,child,0 days 00:05:38.000000000,Look!,10140,338.0,2019-03-31 16:39:46,
30,parent,0 days 00:05:38.000000000,Do you know what a veterinarian is?,10140,338.0,2019-03-31 16:39:46,Do you know what a veterinarian is
31,child,0 days 00:05:40.000000000,What?,10200,340.0,2019-03-31 16:39:48,What
32,parent,0 days 00:05:41.000000000,Someone ... a doctor who takes care of animals.,10230,341.0,2019-03-31 16:39:49,
33,child,0 days 00:05:43.000000000,[inaudible 00:05:43] look,10290,343.0,2019-03-31 16:39:51,
34,parent,0 days 00:05:44.000000000,I know. She looks terrible.,10320,344.0,2019-03-31 16:39:52,
35,parent,0 days 00:05:45.000000000,"Each so called cure only added to poor Camilla's strange appearance until it was hard to even recognize her. She sprouted roots and berries and crystals and feathers and a long furry tail, but nothing worked.",10350,345.0,2019-03-31 16:39:53,
36,parent,0 days 00:06:01.000000000,"One day a woman her called herself an environmental therapist claimed she could cure Camilla, she said. ""Close your eyes, breathe deeply, and become one with your room."" ""I wish you hadn't said that,"" Camilla groaned. Slowly she started to melt into the walls of the room. Her bed became her mouth, her nose was a dresser, and two paintings were her eyes. The therapist screamed and ran from the room. ""What are we going to do?"" cried Mrs. Cream. It just keeps getting worse and worse. She began to sob.",10830,361.0,2019-03-31 16:40:09,
37,parent,0 days 00:06:37.000000000,"At that moment, Mr. Cream heard a quiet little knock on the front door. He opened it and there stood an old woman who was just as plump and sweet as a strawberry. ""Excuse me,"" she said brightly, ""but I think I can help.""",11907,396.9,2019-03-31 16:40:44,
38,parent,0 days 00:06:50.000000000,What do you think she's going to do?,12300,410.0,2019-03-31 16:40:58,What do you think she's going to do
39,parent,0 days 00:06:55.000000000,"She went into Camilla's room and looked around. ""My goodness,"" she said with the shake of her head. ""What we have here is a bad case of the stripes. One of the worst I've ever seen!"" She pulled a container of small green beans from her bag. ""Here,"" she said, ""these might do the trick.""",12450,415.0,2019-03-31 16:41:03,
40,parent,0 days 00:07:14.000000000,"""Are those magic beans?"" said Mrs. Cream. ""Oh my, no!"" replied the kind old woman. ""There's no such thing. These are just plain old lima beans. I bet you'd like some, wouldn't you, Camilla?"" Camilla wanted a big, heaping plateful of lima beans more than just about anything, but she still afraid to admit it. ""Yuck!"" She said. ""No one likes lima beans, especially me.""",13020,434.0,2019-03-31 16:41:22,
41,parent,0 days 00:07:41.000000000,"""Oh dear,"" said the old woman sadly. ""I guess I was wrong about you. She put the beans back in her bag and started toward the door. Camilla watched the old woman walk away. Those beans would taste so good. And being laughed at them for eating was nothing compared to what she had been going through. She finally couldn't stand it. ""Wait!"" she cried. ""The truth is ... I really love lima beans.""",13830,461.0,2019-03-31 16:41:49,
42,parent,0 days 00:08:07.000000000,"""I thought so,"" said the old woman with a smile. She took a handful of beans and popped them into Camilla's mouth. ""Mmmm,"" said Camilla.",14610,487.0,2019-03-31 16:42:15,
43,parent,0 days 00:08:17.000000000,"Suddenly the branches, feathers, and squiggly tails began to disappear, and then the whole room swirled around, and when it stopped, there stood Camilla and everything was back to normal.",14910,497.0,2019-03-31 16:42:25,
44,parent,0 days 00:08:29.000000000,"""I'm cured!"" she shouted. ""Yes!"" said the old woman. ""I knew the real you was in there somewhere."" She patted Camilla on the head and then she went outside and vanished into the crowd.",15270,509.0,2019-03-31 16:42:37,
45,parent,0 days 00:08:41.000000000,"Afterward Camilla wasn't quite the same. Some of the kids at the school said she was weird, but she didn't care a bit. She ate all the lima beans she wanted, and she never had a touch of the stripes again.",15630,521.0,2019-03-31 16:42:49,
46,child,0 days 00:08:58.000000000,Why? Why did she-,16140,538.0,2019-03-31 16:43:06,Why
47,parent,0 days 00:08:58.000000000,So what do you think the stripes were?,16140,538.0,2019-03-31 16:43:06,So what do you think the stripes were
48,child,0 days 00:08:58.000000000,Don't know.,16140,538.0,2019-03-31 16:43:06,
49,parent,0 days 00:08:58.000000000,When she was afraid to be herself because of what other people would think about her. Right?,16140,538.0,2019-03-31 16:43:06, Right
