,users,prob_face_anger,prob_face_contempt,prob_face_disgust,prob_face_fear,prob_face_happiness,prob_face_neutral,prob_face_sadness,prob_face_surprise,smile,p1,p3,text
0,SPK0,0.0151484308764338,0.0095168317668139,0.0018198474310338,0.0113194703124463,0.0097484467551112,0.6622275114059448,0.2578537255525589,0.0323656972497701,1.0,nan,0.0,>
1,SPK0,0.0131331007927656,0.0058219937141984,0.0016932580736465,0.0063896583393216,0.0030506373383104,0.5506502389907837,0.4000273108482361,0.0192338289692997,1.0,10.538955688476562,0.0, Uh
2,SPK0,0.0131298260763287,0.0100860222242772,0.0011831823852844,0.0041295628994703,0.004313033609651,0.5680093765258789,0.3854691863059997,0.0136798195540905,1.0,2.86080002784729,0.0, huh
3,SPK0,0.0142358772456645,0.0063420979306101,0.0024079132126644,0.0133867772296071,0.0035501229576766,0.5603145241737366,0.3567287623882293,0.0430338975042104,1.0,8.07990837097168,0.0, uh
4,SPK0,0.0159741438925266,0.0076672296971082,0.0021262809867039,0.0039337260182946,0.0034451792482286,0.5510751962661743,0.4049391567707062,0.0108391009271144,1.0,0.29358625411987305,0.0, huh
5,SPK0,0.0190703682601451,0.0094731125980615,0.0021564037539064,0.0042318749707192,0.0047265796456485,0.6137214541435242,0.3223330974578857,0.0242871133610606,1.0,1.1289112567901611,0.0,.
6,SPK0,0.0248801045119762,0.0077786115929484,0.01022255923599,0.0063347604125738,0.0032575085991993,0.4709888458251953,0.456840056180954,0.0196975618600845,1.0,3.843778133392334,0.0, Yeah
7,SPK0,0.0326250899583101,0.0054876142181456,0.0081775953061878,0.0075842133723199,0.0018735707504674,0.4918076992034912,0.4270352244377136,0.0254089694470167,1.0,1.2785993814468384,0.0,.
8,SPK0,0.0156869592145085,0.0024156585335731,0.0018470294540748,0.0124299506656825,0.0011333009111694,0.523505961894989,0.3902028799057007,0.0527782555669546,1.0,7.807196617126465,0.0, 
9,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.28512191772461,12.837638854980469, > Yeah
11,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.43870942791303,12.837638854980469,. All right
14,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.581021785736084,12.837638854980469, 
15,SPK0,0.011481243930757,0.0030882721766829,0.0015354718081653,0.025108222849667,0.002592978067696,0.5699042320251465,0.3225992321968078,0.0636903654783964,1.0,3.2523534297943115,0.6348629593849182, > Good. How
19,SPK0,0.0166965384036302,0.0077816573437303,0.0056820749770849,0.0489785153418779,0.0070315664168447,0.5723297238349915,0.2217620223760605,0.1197379112243652,1.0,3.800512444972992,0.7035762190818786, > it going
21,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.2264276345570884,0.37539076805114746, > good 
27,SPK0,0.0277856741100549,0.0079512761440128,0.0116056693252176,0.0271404806524515,0.0329260668251663,0.3419972777366638,0.0871696360409259,0.463423889875412,1.0,3.1907914876937866,0.7493850588798523,", "
29,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3718346059322357,0.3718346059322357, >
30,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.384880632162094,0.3718346059322357, good. So we
34,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1392500003178916,0.3718346059322357,'re gonna do
37,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.641993761062622,0.3718346059322357, this for about 25
41,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0568371613820395,0.3718346059322357, minutes I guess
44,SPK1,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.209402620792389,0.3718346059322357,. 
